avions.	152.800000	0.600000
j'ai	153.600000	0.600000
volé	154.400000	0.600000
un	155.200000	0.600000
peu	156.000000	0.600000
partout	156.800000	0.600000
dans	157.600000	0.600000
le	158.400000	0.600000
monde.	159.200000	0.600000
et	160.000000	0.600000
la	160.800000	0.600000
géographie,	161.600000	0.600000
c'est	162.400000	0.600000
exact,	163.200000	0.600000
m'a	164.000000	0.600000
beaucoup	164.800000	0.600000
servi.	165.600000	0.600000
je	166.400000	0.600000
savais	167.200000	0.600000
reconnaître,	168.000000	0.600000
du	168.800000	0.600000
premier	169.600000	0.600000
coup	170.400000	0.600000
d'oeil,	171.200000	0.600000
la	172.000000	0.600000
chine	172.800000	0.600000
de	173.600000	0.600000
l'arizona.	174.400000	0.600000
c'est	175.200000	0.600000
très	176.000000	0.600000
utile,	176.800000	0.600000
si	177.600000	0.600000
l'on	178.400000	0.600000
s'est	179.200000	0.600000
égaré	180.000000	0.600000
pendant	180.800000	0.600000
la	181.600000	0.600000
nuit.	182.400000	0.600000
j'ai	183.200000	0.600000
ainsi	184.000000	0.600000
eu,	184.800000	0.600000
au	185.600000	0.600000
cours	186.400000	0.600000
de	187.200000	0.600000
ma	188.000000	0.600000
vie,	188.800000	0.600000
des	189.600000	0.600000
tas	190.400000	0.600000
de	191.200000	0.600000
contacts	192.000000	0.600000
avec	192.800000	0.600000
des	193.600000	0.600000
tas	194.400000	0.600000
de	195.200000	0.600000
gens	196.000000	0.600000
sérieux.	196.800000	0.600000
j'ai	197.600000	0.600000
beaucoup	198.400000	0.600000
vécu	199.200000	0.600000
chez	200.000000	0.600000
les	200.800000	0.600000
grandes	201.600000	0.600000
personnes.	202.400000	0.600000
je	203.200000	0.600000
les	204.000000	0.600000
ai	204.800000	0.600000
vues	205.600000	0.600000
de	206.400000	0.600000
très	207.200000	0.600000
près.	208.000000	0.600000
ça	208.800000	0.600000
n'a	209.600000	0.600000
pas	210.400000	0.600000
trop	211.200000	0.600000
amélioré	212.000000	0.600000
mon	212.800000	0.600000
