word	position	sentence_id
bonjour	1	1
dit	2	1
le	3	1
petit	4	1
prince	5	1
bonjour	1	2
dit	2	2
le	3	2
marchand	4	2
C	1	3
était	2	3
un	3	3
marchand	4	3
de	5	3
pilules	6	3
perfectionnées	7	3
qui	8	3
apaisent	9	3
la	10	3
soif	11	3
On	1	4
en	2	4
avale	3	4
une	4	4
par	5	4
semaine	6	4
et	7	4
l	8	4
on	9	4
n	10	4
éprouve	11	4
plus	12	4
le	13	4
besoin	14	4
de	15	4
boire	16	4
pourquoi	1	5
vends	2	5
tu	3	5
ça	4	5
Dit	1	6
le	2	6
petit	3	6
prince	4	6
c	1	7
est	2	7
une	3	7
grosse	4	7
économie	5	7
de	6	7
temps	7	7
dit	8	7
le	9	7
marchand	10	7
Les	1	8
experts	2	8
ont	3	8
fait	4	8
des	5	8
calculs	6	8
On	1	9
épargne	2	9
cinquante	3	9
trois	4	9
minutes	5	9
par	6	9
semaine	7	9
et	1	10
que	2	10
fait	3	10
on	4	10
de	5	10
ces	6	10
cinquante	7	10
trois	8	10
minutes	9	10
on	1	11
en	2	11
fait	3	11
ce	4	11
que	5	11
l	6	11
on	7	11
veut	8	11
moi	1	12
se	2	12
dit	3	12
le	4	12
petit	5	12
prince	6	12
si	7	12
j	8	12
avais	9	12
cinquante	10	12
trois	11	12
minutes	12	12
à	13	12
dépenser	14	12
je	15	12
marcherais	16	12
tout	17	12
doucement	18	12
vers	19	12
une	20	12
fontaine	21	12
Nous	1	13
en	2	13
étions	3	13
au	4	13
huitième	5	13
jour	6	13
de	7	13
ma	8	13
panne	9	13
dans	10	13
le	11	13
désert	12	13
et	13	13
j	14	13
avais	15	13
écouté	16	13
l	17	13
histoire	18	13
du	19	13
marchand	20	13
en	21	13
buvant	22	13
la	23	13
dernière	24	13
goutte	25	13
de	26	13
ma	27	13
provision	28	13
d	29	13
eau	30	13
ah	31	13
Dis	1	14
je	2	14
au	3	14
petit	4	14
prince	5	14
ils	6	14
sont	7	14
bien	8	14
jolis	9	14
tes	10	14
souvenirs	11	14
mais	12	14
je	13	14
n	14	14
ai	15	14
pas	16	14
encore	17	14
réparé	18	14
mon	19	14
avion	20	14
je	21	14
n	22	14
ai	23	14
plus	24	14
rien	25	14
à	26	14
boire	27	14
et	28	14
je	29	14
serais	30	14
heureux	31	14
moi	32	14
aussi	33	14
si	34	14
je	35	14
pouvais	36	14
marcher	37	14
tout	38	14
doucement	39	14
vers	40	14
une	41	14
fontaine	42	14
mon	1	15
ami	2	15
le	3	15
renard	4	15
me	5	15
dit	6	15
il	7	15
mon	1	16
petit	2	16
bonhomme	3	16
il	4	16
ne	5	16
s	6	16
agit	7	16
plus	8	16
du	9	16
renard	10	16
pourquoi	1	17
parce	1	18
qu	2	18
on	3	18
va	4	18
mourir	5	18
de	6	18
soif	7	18
Ll	1	19
ne	2	19
comprit	3	19
pas	4	19
mon	5	19
raisonnement	6	19
il	7	19
me	8	19
répondit	9	19
c	10	19
est	11	19
bien	12	19
d	13	19
avoir	14	19
eu	15	19
un	16	19
ami	17	19
même	18	19
si	19	19
l	20	19
on	21	19
va	22	19
mourir	23	19
Moi	1	20
je	2	20
suis	3	20
bien	4	20
content	5	20
d	6	20
avoir	7	20
eu	8	20
un	9	20
ami	10	20
renard	11	20
il	1	21
ne	2	21
mesure	3	21
pas	4	21
le	5	21
danger	6	21
me	7	21
dis	8	21
je	9	21
Il	1	22
n	2	22
a	3	22
jamais	4	22
ni	5	22
faim	6	22
ni	7	22
soif	8	22
Un	1	23
peu	2	23
de	3	23
soleil	4	23
lui	5	23
suffit	6	23
Mais	1	24
il	2	24
me	3	24
regarda	4	24
et	5	24
répondit	6	24
à	7	24
ma	8	24
pensée	9	24
j	10	24
ai	11	24
soif	12	24
aussi	13	24
Cherchons	1	25
un	2	25
puits	3	25
J	1	26
eus	2	26
un	3	26
geste	4	26
de	5	26
lassitude	6	26
il	7	26
est	8	26
absurde	9	26
de	10	26
chercher	11	26
un	12	26
