word	position	sentence_id	is_last_word
Le	1	1	0
cinquième	2	1	0
jour	3	1	0
toujours	4	1	0
grâce	5	1	0
au	6	1	0
mouton	7	1	0
ce	8	1	0
secret	9	1	0
de	10	1	0
la	11	1	0
vie	12	1	0
du	13	1	0
petit	14	1	0
prince	15	1	0
me	16	1	0
fut	17	1	0
révélé	18	1	1
Il	1	2	0
me	2	2	0
demanda	3	2	0
avec	4	2	0
brusquerie	5	2	0
sans	6	2	0
préambule	7	2	0
comme	8	2	0
le	9	2	0
fruit	10	2	0
d	11	2	0
un	12	2	0
problème	13	2	0
longtemps	14	2	0
médité	15	2	0
en	16	2	0
silence	17	2	0
un	18	2	0
mouton	19	2	0
s	20	2	0
il	21	2	0
mange	22	2	0
les	23	2	0
arbustes	24	2	0
il	25	2	0
mange	26	2	0
aussi	27	2	0
les	28	2	0
fleurs	29	2	1
un	1	3	0
mouton	2	3	0
mange	3	3	0
tout	4	3	0
ce	5	3	0
qu	6	3	0
il	7	3	0
rencontre	8	3	1
même	1	4	0
les	2	4	0
fleurs	3	4	0
qui	4	4	0
ont	5	4	0
des	6	4	0
épines	7	4	1
oui	1	5	1
Même	1	6	0
les	2	6	0
fleurs	3	6	0
qui	4	6	0
ont	5	6	0
des	6	6	0
épines	7	6	1
alors	1	7	0
les	2	7	0
épines	3	7	0
à	4	7	0
quoi	5	7	0
servent	6	7	0
elles	7	7	1
Je	1	8	0
ne	2	8	0
le	3	8	0
savais	4	8	0
pas	5	8	1
J	1	9	0
étais	2	9	0
alors	3	9	0
très	4	9	0
occupé	5	9	0
à	6	9	0
essayer	7	9	0
de	8	9	0
dévisser	9	9	0
un	10	9	0
boulon	11	9	0
trop	12	9	0
serré	13	9	0
de	14	9	0
mon	15	9	0
moteur	16	9	1
J	1	10	0
étais	2	10	0
très	3	10	0
soucieux	4	10	0
car	5	10	0
ma	6	10	0
panne	7	10	0
commençait	8	10	0
de	9	10	0
m	10	10	0
apparaître	11	10	0
comme	12	10	0
très	13	10	0
grave	14	10	0
et	15	10	0
l	16	10	0
eau	17	10	0
à	18	10	0
boire	19	10	0
qui	20	10	0
s	21	10	0
épuisait	22	10	0
me	23	10	0
faisait	24	10	0
craindre	25	10	0
le	26	10	0
pire	27	10	1
les	1	11	0
épines	2	11	0
à	3	11	0
quoi	4	11	0
servent	5	11	0
elles	6	11	1
Le	1	12	0
petit	2	12	0
prince	3	12	0
ne	4	12	0
renonçait	5	12	0
jamais	6	12	0
à	7	12	0
une	8	12	0
question	9	12	0
une	10	12	0
fois	11	12	0
qu	12	12	0
il	13	12	0
l	14	12	0
avait	15	12	0
posée	16	12	1
J	1	13	0
étais	2	13	0
irrité	3	13	0
par	4	13	0
mon	5	13	0
boulon	6	13	0
et	7	13	0
je	8	13	0
répondis	9	13	0
n	10	13	0
importe	11	13	0
quoi	12	13	0
les	13	13	0
épines	14	13	0
ça	15	13	0
ne	16	13	0
sert	17	13	0
à	18	13	0
rien	19	13	0
c	20	13	0
est	21	13	0
de	22	13	0
la	23	13	0
pure	24	13	0
méchanceté	25	13	0
de	26	13	0
la	27	13	0
part	28	13	0
des	29	13	0
fleurs	30	13	1
oh	1	14	1
Mais	1	15	0
après	2	15	0
un	3	15	0
silence	4	15	0
il	5	15	0
me	6	15	0
lança	7	15	0
avec	8	15	0
une	9	15	0
sorte	10	15	0
de	11	15	0
rancune	12	15	0
je	13	15	0
ne	14	15	0
te	15	15	0
crois	16	15	0
pas	17	15	1
Les	1	16	0
fleurs	2	16	0
sont	3	16	0
faibles	4	16	1
Elles	1	17	0
sont	2	17	0
naïves	3	17	1
Elles	1	18	0
se	2	18	0
