word	position	sentence_id	is_last_word
Il	1	1	0
y	2	1	0
avait	3	1	0
à	4	1	0
côté	5	1	0
du	6	1	0
puits	7	1	0
une	8	1	0
ruine	9	1	0
de	10	1	0
vieux	11	1	0
mur	12	1	0
de	13	1	0
pierre	14	1	1
Lorsque	1	2	0
je	2	2	0
revins	3	2	0
de	4	2	0
mon	5	2	0
travail	6	2	0
le	7	2	0
lendemain	8	2	0
soir	9	2	0
j	10	2	0
aperçus	11	2	0
de	12	2	0
loin	13	2	0
mon	14	2	0
petit	15	2	0
prince	16	2	0
assis	17	2	0
là	18	2	0
haut	19	2	0
les	20	2	0
jambes	21	2	0
pendantes	22	2	1
Et	1	3	0
je	2	3	0
l	3	3	0
entendis	4	3	0
qui	5	3	0
parlait	6	3	0
tu	7	3	0
ne	8	3	0
t	9	3	0
en	10	3	0
souviens	11	3	0
donc	12	3	0
pas	13	3	1
Disait	1	4	0
il	2	4	1
Ce	1	5	0
n	2	5	0
est	3	5	0
pas	4	5	0
tout	5	5	0
à	6	5	0
fait	7	5	0
ici	8	5	1
Une	1	6	0
autre	2	6	0
voix	3	6	0
lui	4	6	0
répondit	5	6	0
sans	6	6	0
doute	7	6	0
puisqu	8	6	0
il	9	6	0
répliqua	10	6	0
si	11	6	1
Si	1	7	1
C	1	8	0
est	2	8	0
bien	3	8	0
le	4	8	0
jour	5	8	0
mais	6	8	0
ce	7	8	0
n	8	8	0
est	9	8	0
pas	10	8	0
ici	11	8	0
l	12	8	0
endroit	13	8	1
Je	1	9	0
poursuivis	2	9	0
ma	3	9	0
marche	4	9	0
vers	5	9	0
le	6	9	0
mur	7	9	1
Je	1	10	0
ne	2	10	0
voyais	3	10	0
ni	4	10	0
n	5	10	0
entendais	6	10	0
toujours	7	10	0
personne	8	10	1
Pourtant	1	11	0
le	2	11	0
petit	3	11	0
prince	4	11	0
répliqua	5	11	0
de	6	11	0
nouveau	7	11	1
Bien	1	12	0
sûr	2	12	1
Tu	1	13	0
verras	2	13	0
où	3	13	0
commence	4	13	0
ma	5	13	0
trace	6	13	0
dans	7	13	0
le	8	13	0
sable	9	13	1
Tu	1	14	0
n	2	14	0
as	3	14	0
qu	4	14	0
à	5	14	0
m	6	14	0
y	7	14	0
attendre	8	14	1
J	1	15	0
y	2	15	0
serai	3	15	0
cette	4	15	0
nuit	5	15	1
J	1	16	0
étais	2	16	0
à	3	16	0
vingt	4	16	0
mètres	5	16	0
du	6	16	0
mur	7	16	0
et	8	16	0
je	9	16	0
ne	10	16	0
voyais	11	16	0
toujours	12	16	0
rien	13	16	1
Le	1	17	0
petit	2	17	0
prince	3	17	0
dit	4	17	0
encore	5	17	0
après	6	17	0
un	7	17	0
silence	8	17	0
tu	9	17	0
as	10	17	0
du	11	17	0
bon	12	17	0
venin	13	17	1
Tu	1	18	0
es	2	18	0
sûr	3	18	0
de	4	18	0
ne	5	18	0
pas	6	18	0
me	7	18	0
faire	8	18	0
souffrir	9	18	0
longtemps	10	18	1
Je	1	19	0
fis	2	19	0
halte	3	19	0
le	4	19	0
coeur	5	19	0
serré	6	19	0
mais	7	19	0
je	8	19	0
ne	9	19	0
comprenais	10	19	0
toujours	11	19	0
pas	12	19	1
maintenant	1	20	0
va	2	20	0
t	3	20	0
en	4	20	0
dit	5	20	0
il	6	20	1
Je	1	21	0
veux	2	21	0
redescendre	3	21	1
Alors	1	22	0
j	2	22	0
abaissai	3	22	0
moi	4	22	0
même	5	22	0
les	6	22	0
yeux	7	22	0
vers	8	22	0
le	9	22	0
pied	10	22	0
du	11	22	0
mur	12	22	0
et	13	22	0
je	14	22	0
fis	15	22	0
un	16	22	0
bond	17	22	1
Il	1	23	0
était	2	23	0
là	3	23	0
dressé	4	23	0
