word	position	sentence_id	is_last_word
Il	1	1	0
se	2	1	0
trouvait	3	1	0
dans	4	1	0
la	5	1	0
région	6	1	0
des	7	1	0
astéroïdes	8	1	0
325	9	1	0
326	10	1	0
327	11	1	0
328	12	1	0
329	13	1	0
et	14	1	0
330	15	1	1
Il	1	2	0
commença	2	2	0
donc	3	2	0
par	4	2	0
les	5	2	0
visiter	6	2	0
pour	7	2	0
y	8	2	0
chercher	9	2	0
une	10	2	0
occupation	11	2	0
et	12	2	0
pour	13	2	0
s	14	2	0
instruire	15	2	1
Le	1	3	0
premier	2	3	0
était	3	3	0
habité	4	3	0
par	5	3	0
un	6	3	0
roi	7	3	1
Le	1	4	0
roi	2	4	0
siégeait	3	4	0
habillé	4	4	0
de	5	4	0
pourpre	6	4	0
et	7	4	0
d	8	4	0
hermine	9	4	0
sur	10	4	0
un	11	4	0
trône	12	4	0
très	13	4	0
simple	14	4	0
et	15	4	0
cependant	16	4	0
majestueux	17	4	1
ah	1	5	1
Voilà	1	6	0
un	2	6	0
sujet	3	6	1
S	1	7	0
écria	2	7	0
le	3	7	0
roi	4	7	0
quand	5	7	0
il	6	7	0
aperçut	7	7	0
le	8	7	0
petit	9	7	0
prince	10	7	1
Et	1	8	0
le	2	8	0
petit	3	8	0
prince	4	8	0
se	5	8	0
demanda	6	8	0
comment	7	8	0
peut	8	8	0
il	9	8	0
me	10	8	0
reconnaître	11	8	0
puisqu	12	8	0
il	13	8	0
ne	14	8	0
m	15	8	0
a	16	8	0
encore	17	8	0
jamais	18	8	0
vu	19	8	1
Il	1	9	0
ne	2	9	0
savait	3	9	0
pas	4	9	0
que	5	9	0
pour	6	9	0
les	7	9	0
rois	8	9	0
le	9	9	0
monde	10	9	0
est	11	9	0
très	12	9	0
simplifié	13	9	1
Tous	1	10	0
les	2	10	0
hommes	3	10	0
sont	4	10	0
des	5	10	0
sujets	6	10	1
approche	1	11	0
toi	2	11	0
que	3	11	0
je	4	11	0
te	5	11	0
voie	6	11	0
mieux	7	11	0
lui	8	11	0
dit	9	11	0
le	10	11	0
roi	11	11	0
qui	12	11	0
était	13	11	0
tout	14	11	0
fier	15	11	0
d	16	11	0
être	17	11	0
enfin	18	11	0
roi	19	11	0
pour	20	11	0
quelqu	21	11	0
un	22	11	1
Le	1	12	0
petit	2	12	0
prince	3	12	0
chercha	4	12	0
des	5	12	0
yeux	6	12	0
où	7	12	0
s	8	12	0
asseoir	9	12	0
mais	10	12	0
la	11	12	0
planète	12	12	0
était	13	12	0
tout	14	12	0
encombrée	15	12	0
par	16	12	0
le	17	12	0
magnifique	18	12	0
manteau	19	12	0
d	20	12	0
hermine	21	12	1
Il	1	13	0
resta	2	13	0
