word	position	sentence_id
Mais	1	1
il	2	1
arriva	3	1
que	4	1
le	5	1
petit	6	1
prince	7	1
ayant	8	1
longtemps	9	1
marché	10	1
à	11	1
travers	12	1
les	13	1
sables	14	1
les	15	1
rocs	16	1
et	17	1
les	18	1
neiges	19	1
découvrit	20	1
enfin	21	1
une	22	1
route	23	1
Et	1	2
les	2	2
routes	3	2
vont	4	2
toutes	5	2
chez	6	2
les	7	2
hommes	8	2
bonjour	1	3
dit	2	3
il	3	3
C	1	4
était	2	4
un	3	4
jardin	4	4
fleuri	5	4
de	6	4
roses	7	4
bonjour	1	5
dirent	2	5
les	3	5
roses	4	5
Le	1	6
petit	2	6
prince	3	6
les	4	6
regarda	5	6
Elles	1	7
ressemblaient	2	7
toutes	3	7
à	4	7
sa	5	7
fleur	6	7
qui	1	8
êtes	2	8
vous	3	8
Leur	1	9
demanda	2	9
t	3	9
il	4	9
stupéfait	5	9
Nous	1	10
sommes	2	10
des	3	10
roses	4	10
dirent	5	10
les	6	10
roses	7	10
Ah	1	11
Fit	1	12
le	2	12
petit	3	12
prince	4	12
Et	1	13
il	2	13
se	3	13
sentit	4	13
très	5	13
malheureux	6	13
Sa	1	14
fleur	2	14
lui	3	14
avait	4	14
raconté	5	14
qu	6	14
elle	7	14
était	8	14
seule	9	14
de	10	14
son	11	14
espèce	12	14
dans	13	14
l	14	14
univers	15	14
Et	1	15
voici	2	15
qu	3	15
il	4	15
en	5	15
était	6	15
cinq	7	15
mille	8	15
toutes	9	15
semblables	10	15
dans	11	15
un	12	15
seul	13	15
jardin	14	15
elle	1	16
serait	2	16
bien	3	16
vexée	4	16
se	5	16
dit	6	16
il	7	16
si	8	16
elle	9	16
voyait	10	16
ça	11	16
Elle	1	17
tousserait	2	17
énormément	3	17
et	4	17
ferait	5	17
semblant	6	17
de	7	17
mourir	8	17
pour	9	17
échapper	10	17
au	11	17
ridicule	12	17
Et	1	18
je	2	18
serais	3	18
bien	4	18
obligé	5	18
de	6	18
faire	7	18
semblant	8	18
de	9	18
la	10	18
soigner	11	18
car	12	18
sinon	13	18
pour	14	18
m	15	18
humilier	16	18
moi	17	18
aussi	18	18
elle	19	18
se	20	18
laisserait	21	18
vraiment	22	18
mourir	23	18
Puis	1	19
il	2	19
se	3	19
dit	4	19
encore	5	19
Je	6	19
me	7	19
croyais	8	19
riche	9	19
d	10	19
une	11	19
fleur	12	19
unique	13	19
et	14	19
je	15	19
ne	16	19
possède	17	19
qu	18	19
une	19	19
