word	position	sentence_id
J	1	1
avais	2	1
ainsi	3	1
appris	4	1
une	5	1
seconde	6	1
chose	7	1
très	8	1
importante	9	1
c	10	1
est	11	1
que	12	1
sa	13	1
planète	14	1
d	15	1
origine	16	1
était	17	1
à	18	1
peine	19	1
plus	20	1
grande	21	1
qu	22	1
une	23	1
maison	24	1
Ça	1	2
ne	2	2
pouvait	3	2
pas	4	2
m	5	2
étonner	6	2
beaucoup	7	2
Je	1	3
savais	2	3
bien	3	3
qu	4	3
en	5	3
dehors	6	3
des	7	3
grosses	8	3
planètes	9	3
comme	10	3
la	11	3
terre	12	3
jupiter	13	3
mars	14	3
vénus	15	3
auxquelles	16	3
on	17	3
a	18	3
donné	19	3
des	20	3
noms	21	3
il	22	3
y	23	3
en	24	3
a	25	3
des	26	3
centaines	27	3
d	28	3
autres	29	3
qui	30	3
sont	31	3
quelquefois	32	3
si	33	3
petites	34	3
qu	35	3
on	36	3
a	37	3
beaucoup	38	3
de	39	3
mal	40	3
à	41	3
les	42	3
apercevoir	43	3
au	44	3
télescope	45	3
Quand	1	4
un	2	4
astronome	3	4
découvre	4	4
l	5	4
une	6	4
d	7	4
elles	8	4
il	9	4
lui	10	4
donne	11	4
pour	12	4
nom	13	4
un	14	4
numéro	15	4
Il	1	5
l	2	5
appelle	3	5
par	4	5
exemple	5	5
l	6	5
astéroïde	7	5
325	8	5
J	1	6
ai	2	6
de	3	6
sérieuses	4	6
raisons	5	6
de	6	6
croire	7	6
que	8	6
la	9	6
planète	10	6
d	11	6
où	12	6
venait	13	6
le	14	6
petit	15	6
prince	16	6
est	17	6
l	18	6
astéroïde	19	6
b	20	6
612	21	6
Cet	1	7
astéroïde	2	7
n	3	7
a	4	7
été	5	7
aperçu	6	7
qu	7	7
une	8	7
fois	9	7
au	10	7
télescope	11	7
en	12	7
1909	13	7
par	14	7
un	15	7
astronome	16	7
turc	17	7
Il	1	8
avait	2	8
fait	3	8
alors	4	8
une	5	8
grande	6	8
démonstration	7	8
de	8	8
sa	9	8
découverte	10	8
à	11	8
un	12	8
congrès	13	8
international	14	8
d	15	8
astronomie	16	8
Mais	1	9
personne	2	9
ne	3	9
l	4	9
avait	5	9
cru	6	9
à	7	9
cause	8	9
de	9	9
son	10	9
costume	11	9
Les	1	10
grandes	2	10
personnes	3	10
sont	4	10
comme	5	10
ça	6	10
Heureusement	1	11
pour	2	11
la	3	11
réputation	4	11
de	5	11
l	6	11
astéroïde	7	11
b	8	11
612	9	11
un	10	11
dictateur	11	11
turc	12	11
imposa	13	11
à	14	11
son	15	11
peuple	16	11
sous	17	11
peine	18	11
de	19	11
mort	20	11
de	21	11
s	22	11
habiller	23	11
à	24	11
l	25	11
européenne	26	11
L	1	12
astronome	2	12
refit	3	12
sa	4	12
démonstration	5	12
en	6	12
1920	7	12
dans	8	12
un	9	12
habit	10	12
très	11	12
élégant	12	12
Et	1	13
cette	2	13
fois	3	13
ci	4	13
tout	5	13
le	6	13
monde	7	13
fut	8	13
de	9	13
son	10	13
avis	11	13
Si	1	14
je	2	14
vous	3	14
ai	4	14
raconté	5	14
ces	6	14
détails	7	14
sur	8	14
l	9	14
astéroïde	10	14
b	11	14
612	12	14
et	13	14
si	14	14
je	15	14
vous	16	14
ai	17	14
confié	18	14
son	19	14
numéro	20	14
c	21	14
est	22	14
à	23	14
cause	24	14
des	25	14
grandes	26	14
personnes	27	14
Les	1	15
grandes	2	15
personnes	3	15
aiment	4	15
les	5	15
chiffres	6	15
Quand	1	16
vous	2	16
leur	3	16
parlez	4	16
d	5	16
un	6	16
nouvel	7	16
ami	8	16
elles	9	16
ne	10	16
vous	11	16
questionnent	12	16
jamais	13	16
sur	14	16
l	15	16
essentiel	16	16
Elles	1	17
ne	2	17
vous	3	17
disent	4	17
jamais	5	17
quel	6	17
est	7	17
le	8	17
son	9	17
de	10	17
sa	11	17
voix	12	17
Quels	1	18
sont	2	18
les	3	18
jeux	4	18
qu	5	18
il	6	18
préfère	7	18
Est	1	19
ce	2	19
qu	3	19
il	4	19
collectionne	5	19
les	6	19
papillons	7	19
Elles	1	20
vous	2	20
demandent	3	20
quel	4	20
âge	5	20
a	6	20
t	7	20
il	8	20
Combien	1	21
a	2	21
t	3	21
il	4	21
de	5	21
frères	6	21
Combien	1	22
pèse	2	22
t	3	22
il	4	22
Combien	1	23
gagne	2	23
son	3	23
père	4	23
Alors	1	24
seulement	2	24
elles	3	24
croient	4	24
le	5	24
connaître	6	24
Si	1	25
vous	2	25
dites	3	25
aux	4	25
grandes	5	25
personnes	6	25
j	7	25
ai	8	25
vu	9	25
une	10	25
belle	11	25
maison	12	25
en	13	25
briques	14	25
roses	15	25
avec	16	25
des	17	25
géraniums	18	25
aux	19	25
fenêtres	20	25
et	21	25
des	22	25
colombes	23	25
sur	24	25
le	25	25
toit	26	25
Elles	1	26
ne	2	26
parviennent	3	26
pas	4	26
à	5	26
s	6	26
imaginer	7	26
cette	8	26
maison	9	26
Il	1	27
faut	2	27
leur	3	27
dire	4	27
j	5	27
ai	6	27
vu	7	27
une	8	27
maison	9	27
de	10	27
cent	11	27
mille	12	27
francs	13	27
Alors	1	28
elles	2	28
s	3	28
écrient	4	28
comme	5	28
c	6	28
est	7	28
joli	8	28
Ainsi	1	29
si	2	29
vous	3	29
leur	4	29
dites	5	29
la	6	29
preuve	7	29
que	8	29
le	9	29
petit	10	29
prince	11	29
a	12	29
existé	13	29
c	14	29
est	15	29
qu	16	29
il	17	29
était	18	29
ravissant	19	29
qu	20	29
il	21	29
riait	22	29
et	23	29
qu	24	29
il	25	29
voulait	26	29
un	27	29
mouton	28	29
Quand	1	30
on	2	30
veut	3	30
un	4	30
mouton	5	30
c	6	30
est	7	30
la	8	30
preuve	9	30
qu	10	30
on	11	30
existe	12	30
elles	13	30
hausseront	14	30
les	15	30
épaules	16	30
et	17	30
vous	18	30
traiteront	19	30
d	20	30
enfant	21	30
Mais	1	31
si	2	31
vous	3	31
leur	4	31
dites	5	31
la	6	31
planète	7	31
d	8	31
où	9	31
il	10	31
venait	11	31
est	12	31
l	13	31
astéroïde	14	31
b	15	31
612	16	31
alors	17	31
elles	18	31
seront	19	31
convaincues	20	31
et	21	31
elles	22	31
vous	23	31
laisseront	24	31
tranquille	25	31
avec	26	31
leurs	27	31
questions	28	31
Elles	1	32
sont	2	32
comme	3	32
ça	4	32
Il	1	33
ne	2	33
faut	3	33
pas	4	33
leur	5	33
en	6	33
vouloir	7	33
Les	1	34
enfants	2	34
doivent	3	34
être	4	34
très	5	34
indulgents	6	34
envers	7	34
les	8	34
grandes	9	34
personnes	10	34
Mais	1	35
bien	2	35
sûr	3	35
nous	4	35
qui	5	35
comprenons	6	35
la	7	35
vie	8	35
nous	9	35
nous	10	35
moquons	11	35
bien	12	35
des	13	35
numéros	14	35
J	1	36
aurais	2	36
aimé	3	36
commencer	4	36
cette	5	36
histoire	6	36
à	7	36
la	8	36
façon	9	36
des	10	36
contes	11	36
de	12	36
fées	13	36
J	1	37
aurais	2	37
aimé	3	37
dire	4	37
il	5	37
était	6	37
une	7	37
fois	8	37
un	9	37
petit	10	37
prince	11	37
qui	12	37
habitait	13	37
une	14	37
planète	15	37
à	16	37
peine	17	37
plus	18	37
grande	19	37
que	20	37
lui	21	37
et	22	37
qui	23	37
avait	24	37
besoin	25	37
d	26	37
un	27	37
ami	28	37
Pour	1	38
ceux	2	38
qui	3	38
comprennent	4	38
la	5	38
vie	6	38
ça	7	38
aurait	8	38
eu	9	38
l	10	38
air	11	38
beaucoup	12	38
plus	13	38
vrai	14	38
Car	1	39
je	2	39
n	3	39
aime	4	39
pas	5	39
qu	6	39
on	7	39
lise	8	39
mon	9	39
livre	10	39
à	11	39
la	12	39
légère	13	39
J	1	40
éprouve	2	40
tant	3	40
de	4	40
chagrin	5	40
à	6	40
raconter	7	40
ces	8	40
souvenirs	9	40
Il	1	41
y	2	41
a	3	41
six	4	41
ans	5	41
déjà	6	41
que	7	41
mon	8	41
ami	9	41
s	10	41
en	11	41
est	12	41
allé	13	41
avec	14	41
son	15	41
mouton	16	41
Si	1	42
j	2	42
essaie	3	42
ici	4	42
de	5	42
le	6	42
décrire	7	42
c	8	42
est	9	42
afin	10	42
de	11	42
ne	12	42
pas	13	42
l	14	42
oublier	15	42
C	1	43
est	2	43
triste	3	43
d	4	43
oublier	5	43
un	6	43
ami	7	43
