word	onset	duration	trial_type
J'avais	0.7	0.25	{'kind': 'word', 'word': 'Javais'}
ainsi	1.0	0.25	{'kind': 'word', 'word': 'ainsi'}
appris	1.3	0.25	{'kind': 'word', 'word': 'appris'}
une	1.6	0.25	{'kind': 'word', 'word': 'une'}
seconde	1.9	0.25	{'kind': 'word', 'word': 'seconde'}
chose	2.2	0.25	{'kind': 'word', 'word': 'chose'}
très	2.5	0.25	{'kind': 'word', 'word': 'très'}
importante:	2.8000000000000007	0.25	{'kind': 'word', 'word': 'importante'}
c'est	3.1000000000000005	0.25	{'kind': 'word', 'word': 'cest'}
que	3.4000000000000004	0.25	{'kind': 'word', 'word': 'que'}
sa	3.7	0.25	{'kind': 'word', 'word': 'sa'}
planète	4.000000000000001	0.25	{'kind': 'word', 'word': 'planète'}
d'origine	4.300000000000001	0.25	{'kind': 'word', 'word': 'dorigine'}
était	4.6000000000000005	0.25	{'kind': 'word', 'word': 'était'}
à	4.900000000000001	0.25	{'kind': 'word', 'word': 'à'}
peine	5.200000000000001	0.25	{'kind': 'word', 'word': 'peine'}
plus	5.500000000000001	0.25	{'kind': 'word', 'word': 'plus'}
grande	5.800000000000001	0.25	{'kind': 'word', 'word': 'grande'}
qu'une	6.1000000000000005	0.25	{'kind': 'word', 'word': 'quune'}
maison!	6.400000000000001	0.25	{'kind': 'word', 'word': 'maison'}
Ça	6.700000000000001	0.25	{'kind': 'word', 'word': 'Ça'}
ne	7.000000000000001	0.25	{'kind': 'word', 'word': 'ne'}
pouvait	7.300000000000002	0.25	{'kind': 'word', 'word': 'pouvait'}
pas	7.600000000000001	0.25	{'kind': 'word', 'word': 'pas'}
m'étonner	7.900000000000001	0.25	{'kind': 'word', 'word': 'métonner'}
beaucoup.	8.200000000000001	0.25	{'kind': 'word', 'word': 'beaucoup'}
Je	8.5	0.25	{'kind': 'word', 'word': 'Je'}
savais	8.8	0.25	{'kind': 'word', 'word': 'savais'}
bien	9.1	0.25	{'kind': 'word', 'word': 'bien'}
qu'en	9.4	0.25	{'kind': 'word', 'word': 'quen'}
dehors	9.7	0.25	{'kind': 'word', 'word': 'dehors'}
des	10.0	0.25	{'kind': 'word', 'word': 'des'}
grosses	10.3	0.25	{'kind': 'word', 'word': 'grosses'}
planètes	10.6	0.25	{'kind': 'word', 'word': 'planètes'}
comme	10.9	0.25	{'kind': 'word', 'word': 'comme'}
la	11.2	0.25	{'kind': 'word', 'word': 'la'}
terre,	11.5	0.25	{'kind': 'word', 'word': 'terre'}
jupiter,	11.8	0.25	{'kind': 'word', 'word': 'jupiter'}
mars,	12.1	0.25	{'kind': 'word', 'word': 'mars'}
vénus,	12.4	0.25	{'kind': 'word', 'word': 'vénus'}
auxquelles	12.7	0.25	{'kind': 'word', 'word': 'auxquelles'}
on	13.000000000000002	0.25	{'kind': 'word', 'word': 'on'}
a	13.3	0.25	{'kind': 'word', 'word': 'a'}
donné	13.6	0.25	{'kind': 'word', 'word': 'donné'}
des	13.900000000000002	0.25	{'kind': 'word', 'word': 'des'}
noms,	14.2	0.25	{'kind': 'word', 'word': 'noms'}
il	14.500000000000002	0.25	{'kind': 'word', 'word': 'il'}
y	14.8	0.25	{'kind': 'word', 'word': 'y'}
en	15.1	0.25	{'kind': 'word', 'word': 'en'}
a	15.400000000000002	0.25	{'kind': 'word', 'word': 'a'}
des	15.7	0.25	{'kind': 'word', 'word': 'des'}
centaines	16.000000000000004	0.25	{'kind': 'word', 'word': 'centaines'}
d'autres	16.3	0.25	{'kind': 'word', 'word': 'dautres'}
qui	16.6	0.25	{'kind': 'word', 'word': 'qui'}
sont	16.900000000000002	0.25	{'kind': 'word', 'word': 'sont'}
quelquefois	17.200000000000003	0.25	{'kind': 'word', 'word': 'quelquefois'}
si	17.500000000000004	0.25	{'kind': 'word', 'word': 'si'}
petites	17.8	0.25	{'kind': 'word', 'word': 'petites'}
qu'on	18.1	0.25	{'kind': 'word', 'word': 'quon'}
a	18.4	0.25	{'kind': 'word', 'word': 'a'}
beaucoup	18.700000000000003	0.25	{'kind': 'word', 'word': 'beaucoup'}
de	19.000000000000004	0.25	{'kind': 'word', 'word': 'de'}
mal	19.3	0.25	{'kind': 'word', 'word': 'mal'}
à	19.6	0.25	{'kind': 'word', 'word': 'à'}
les	19.9	0.25	{'kind': 'word', 'word': 'les'}
apercevoir	20.200000000000003	0.25	{'kind': 'word', 'word': 'apercevoir'}
au	20.500000000000004	0.25	{'kind': 'word', 'word': 'au'}
télescope.	20.8	0.25	{'kind': 'word', 'word': 'télescope'}
Quand	21.1	0.25	{'kind': 'word', 'word': 'Quand'}
un	21.4	0.25	{'kind': 'word', 'word': 'un'}
astronome	21.700000000000003	0.25	{'kind': 'word', 'word': 'astronome'}
découvre	22.000000000000004	0.25	{'kind': 'word', 'word': 'découvre'}
l'une	22.3	0.25	{'kind': 'word', 'word': 'lune'}
d'elles,	22.6	0.25	{'kind': 'word', 'word': 'delles'}
il	22.9	0.25	{'kind': 'word', 'word': 'il'}
lui	23.200000000000003	0.25	{'kind': 'word', 'word': 'lui'}
donne	23.500000000000004	0.25	{'kind': 'word', 'word': 'donne'}
pour	23.800000000000004	0.25	{'kind': 'word', 'word': 'pour'}
nom	24.1	0.25	{'kind': 'word', 'word': 'nom'}
un	24.4	0.25	{'kind': 'word', 'word': 'un'}
numéro.	24.700000000000003	0.25	{'kind': 'word', 'word': 'numéro'}
Il	25.000000000000004	0.25	{'kind': 'word', 'word': 'Il'}
l'appelle	25.300000000000004	0.25	{'kind': 'word', 'word': 'lappelle'}
par	25.6	0.25	{'kind': 'word', 'word': 'par'}
exemple:	25.9	0.25	{'kind': 'word', 'word': 'exemple'}
"""l'astéroïde"	26.200000000000003	0.25	{'kind': 'word', 'word': 'lastéroïde'}
"325""."	26.500000000000004	0.25	{'kind': 'word', 'word': '325'}
J'ai	26.800000000000004	0.25	{'kind': 'word', 'word': 'Jai'}
