word	onset	duration	trial_type
de	28.600000000000005	0.25	{'kind': 'word', 'word': 'de'}
nouveau:	28.9	0.25	{'kind': 'word', 'word': 'nouveau'}
"""..."	29.200000000000003	0.25	{'kind': 'word', 'word': ''}
Bien	29.500000000000004	0.25	{'kind': 'word', 'word': 'Bien'}
sûr.	29.800000000000004	0.25	{'kind': 'word', 'word': 'sûr'}
Tu	30.100000000000005	0.25	{'kind': 'word', 'word': 'Tu'}
verras	30.4	0.25	{'kind': 'word', 'word': 'verras'}
où	30.700000000000003	0.25	{'kind': 'word', 'word': 'où'}
commence	31.000000000000004	0.25	{'kind': 'word', 'word': 'commence'}
ma	31.300000000000004	0.25	{'kind': 'word', 'word': 'ma'}
trace	31.600000000000005	0.25	{'kind': 'word', 'word': 'trace'}
dans	31.9	0.25	{'kind': 'word', 'word': 'dans'}
le	32.2	0.25	{'kind': 'word', 'word': 'le'}
sable.	32.50000000000001	0.25	{'kind': 'word', 'word': 'sable'}
Tu	32.800000000000004	0.25	{'kind': 'word', 'word': 'Tu'}
n'as	33.10000000000001	0.25	{'kind': 'word', 'word': 'nas'}
qu'à	33.400000000000006	0.25	{'kind': 'word', 'word': 'quà'}
m'y	33.70000000000001	0.25	{'kind': 'word', 'word': 'my'}
attendre.	34.00000000000001	0.25	{'kind': 'word', 'word': 'attendre'}
J'y	34.30000000000001	0.25	{'kind': 'word', 'word': 'Jy'}
serai	34.60000000000001	0.25	{'kind': 'word', 'word': 'serai'}
cette	34.900000000000006	0.25	{'kind': 'word', 'word': 'cette'}
"nuit."""	35.20000000000001	0.25	{'kind': 'word', 'word': 'nuit'}
J'étais	35.50000000000001	0.25	{'kind': 'word', 'word': 'Jétais'}
à	35.80000000000001	0.25	{'kind': 'word', 'word': 'à'}
vingt	36.10000000000001	0.25	{'kind': 'word', 'word': 'vingt'}
mètres	36.400000000000006	0.25	{'kind': 'word', 'word': 'mètres'}
du	36.70000000000001	0.25	{'kind': 'word', 'word': 'du'}
mur	37.00000000000001	0.25	{'kind': 'word', 'word': 'mur'}
et	37.30000000000001	0.25	{'kind': 'word', 'word': 'et'}
je	37.60000000000001	0.25	{'kind': 'word', 'word': 'je'}
