word	onset	duration	trial_type
La	0.7	0.25	{'kind': 'word', 'word': 'La'}
quatrième	1.0	0.25	{'kind': 'word', 'word': 'quatrième'}
planète	1.3	0.25	{'kind': 'word', 'word': 'planète'}
était	1.6	0.25	{'kind': 'word', 'word': 'était'}
celle	1.9	0.25	{'kind': 'word', 'word': 'celle'}
du	2.2	0.25	{'kind': 'word', 'word': 'du'}
businessman.	2.5	0.25	{'kind': 'word', 'word': 'businessman'}
Cet	3.3000000000000007	0.25	{'kind': 'word', 'word': 'Cet'}
homme	3.6000000000000005	0.25	{'kind': 'word', 'word': 'homme'}
était	3.9	0.25	{'kind': 'word', 'word': 'était'}
si	4.2	0.25	{'kind': 'word', 'word': 'si'}
occupé	4.500000000000001	0.25	{'kind': 'word', 'word': 'occupé'}
qu'il	4.800000000000001	0.25	{'kind': 'word', 'word': 'quil'}
ne	5.1000000000000005	0.25	{'kind': 'word', 'word': 'ne'}
leva	5.400000000000001	0.25	{'kind': 'word', 'word': 'leva'}
même	5.700000000000001	0.25	{'kind': 'word', 'word': 'même'}
pas	6.000000000000001	0.25	{'kind': 'word', 'word': 'pas'}
la	6.300000000000001	0.25	{'kind': 'word', 'word': 'la'}
tête	6.6000000000000005	0.25	{'kind': 'word', 'word': 'tête'}
à	6.900000000000001	0.25	{'kind': 'word', 'word': 'à'}
l'arrivée	7.200000000000001	0.25	{'kind': 'word', 'word': 'larrivée'}
du	7.500000000000001	0.25	{'kind': 'word', 'word': 'du'}
petit	7.800000000000002	0.25	{'kind': 'word', 'word': 'petit'}
prince.	8.100000000000001	0.25	{'kind': 'word', 'word': 'prince'}
"""bonjour,"	8.900000000000002	0.25	{'kind': 'word', 'word': 'bonjour'}
lui	9.2	0.25	{'kind': 'word', 'word': 'lui'}
dit	9.5	0.25	{'kind': 'word', 'word': 'dit'}
celui-ci.	9.8	0.25	{'kind': 'word', 'word': 'celuici'}
Votre	10.6	0.25	{'kind': 'word', 'word': 'Votre'}
cigarette	10.9	0.25	{'kind': 'word', 'word': 'cigarette'}
est	11.2	0.25	{'kind': 'word', 'word': 'est'}
éteinte.	11.5	0.25	{'kind': 'word', 'word': 'éteinte'}
-trois	12.3	0.25	{'kind': 'word', 'word': 'trois'}
et	12.6	0.25	{'kind': 'word', 'word': 'et'}
deux	12.9	0.25	{'kind': 'word', 'word': 'deux'}
font	13.2	0.25	{'kind': 'word', 'word': 'font'}
cinq.	13.5	0.25	{'kind': 'word', 'word': 'cinq'}
Cinq	14.3	0.25	{'kind': 'word', 'word': 'Cinq'}
et	14.6	0.25	{'kind': 'word', 'word': 'et'}
sept	14.9	0.25	{'kind': 'word', 'word': 'sept'}
douze.	15.2	0.25	{'kind': 'word', 'word': 'douze'}
Douze	16.0	0.25	{'kind': 'word', 'word': 'Douze'}
et	16.3	0.25	{'kind': 'word', 'word': 'et'}
trois	16.6	0.25	{'kind': 'word', 'word': 'trois'}
quinze.	16.900000000000002	0.25	{'kind': 'word', 'word': 'quinze'}
Bonjour.	17.700000000000003	0.25	{'kind': 'word', 'word': 'Bonjour'}
Quinze	18.5	0.25	{'kind': 'word', 'word': 'Quinze'}
et	18.8	0.25	{'kind': 'word', 'word': 'et'}
sept	19.1	0.25	{'kind': 'word', 'word': 'sept'}
vingt-deux.	19.4	0.25	{'kind': 'word', 'word': 'vingtdeux'}
Vingt-deux	20.200000000000003	0.25	{'kind': 'word', 'word': 'Vingtdeux'}
et	20.500000000000004	0.25	{'kind': 'word', 'word': 'et'}
six	20.8	0.25	{'kind': 'word', 'word': 'six'}
vingt-huit.	21.1	0.25	{'kind': 'word', 'word': 'vingthuit'}
Pas	21.9	0.25	{'kind': 'word', 'word': 'Pas'}
le	22.200000000000003	0.25	{'kind': 'word', 'word': 'le'}
temps	22.500000000000004	0.25	{'kind': 'word', 'word': 'temps'}
de	22.8	0.25	{'kind': 'word', 'word': 'de'}
la	23.1	0.25	{'kind': 'word', 'word': 'la'}
rallumer.	23.4	0.25	{'kind': 'word', 'word': 'rallumer'}
Vingt-six	24.200000000000003	0.25	{'kind': 'word', 'word': 'Vingtsix'}
et	24.500000000000004	0.25	{'kind': 'word', 'word': 'et'}
cinq	24.8	0.25	{'kind': 'word', 'word': 'cinq'}
trente	25.1	0.25	{'kind': 'word', 'word': 'trente'}
et	25.4	0.25	{'kind': 'word', 'word': 'et'}
un.	25.700000000000003	0.25	{'kind': 'word', 'word': 'un'}
Ouf!	26.500000000000004	0.25	{'kind': 'word', 'word': 'Ouf'}
Ça	27.3	0.25	{'kind': 'word', 'word': 'Ça'}
fait	27.6	0.25	{'kind': 'word', 'word': 'fait'}
donc	27.9	0.25	{'kind': 'word', 'word': 'donc'}
cinq	28.200000000000003	0.25	{'kind': 'word', 'word': 'cinq'}
cent	28.500000000000004	0.25	{'kind': 'word', 'word': 'cent'}
un	28.8	0.25	{'kind': 'word', 'word': 'un'}
millions	29.1	0.25	{'kind': 'word', 'word': 'millions'}
six	29.4	0.25	{'kind': 'word', 'word': 'six'}
cent	29.700000000000003	0.25	{'kind': 'word', 'word': 'cent'}
vingt-deux	30.000000000000004	0.25	{'kind': 'word', 'word': 'vingtdeux'}
mille	30.300000000000004	0.25	{'kind': 'word', 'word': 'mille'}
sept	30.6	0.25	{'kind': 'word', 'word': 'sept'}
cent	30.9	0.25	{'kind': 'word', 'word': 'cent'}
trente	31.200000000000003	0.25	{'kind': 'word', 'word': 'trente'}
et	31.500000000000004	0.25	{'kind': 'word', 'word': 'et'}
un.	31.800000000000004	0.25	{'kind': 'word', 'word': 'un'}
-cinq	32.6	0.25	{'kind': 'word', 'word': 'cinq'}
cents	32.900000000000006	0.25	{'kind': 'word', 'word': 'cents'}
millions	33.2	0.25	{'kind': 'word', 'word': 'millions'}
de	33.5	0.25	{'kind': 'word', 'word': 'de'}
quoi?	33.800000000000004	0.25	{'kind': 'word', 'word': 'quoi'}
-hein?	34.60000000000001	0.25	{'kind': 'word', 'word': 'hein'}
Tu	35.400000000000006	0.25	{'kind': 'word', 'word': 'Tu'}
