subject,score,t
28,0.006114737298992648,-1.0
28,-0.003822972618136714,-0.9
28,0.004466594897502633,-0.8
28,3.7708198950394305e-05,-0.7
28,0.005478446107022383,-0.6
28,-0.0003153632837029052,-0.5
28,0.008523718515239946,-0.4
28,0.0044709401958869886,-0.3
28,-0.0024051200766430397,-0.2
28,0.005483019369842502,-0.1
28,-0.0017728060513786186,0.0
28,0.00491035630972246,0.1
28,-0.005774435126887751,0.2
28,0.0033751680699091366,0.3
28,0.008470997550653626,0.4
28,0.0048071533567238455,0.5
28,0.003273965509805806,0.6
28,0.0027208600583730545,0.7
28,0.001834114795873455,0.8
28,0.0007131091289945373,0.9
28,-0.0014057032023838559,1.0
28,0.004172455639998537,1.1
28,0.005368012299742452,1.2
28,0.0070885852975796125,1.3
28,0.0075347590719237155,1.4
28,0.009173718698139722,1.5
28,7.866547406111535e-05,1.6
28,0.0006772526705395386,1.7
28,-0.0034933032831195236,1.8
28,-0.0015095273537954026,1.9
28,-0.0030070352902666644,2.0
28,-0.0076219598601088715,2.1
28,-0.006446739704135716,2.2
28,-0.005332238207403064,2.3
28,-0.0060136182643098736,2.4
28,-0.00012745929845583008,2.5
28,-0.0010857224233054225,2.6
28,0.0004129784266070343,2.7
28,0.002158859056715988,2.8
28,-0.005242257536948811,2.9
28,-0.0016461113914012424,3.0
28,-0.0024559033258428624,3.1
28,0.0094766194937545,3.2
28,0.012023496530975649,3.3
28,0.011001803981928513,3.4
28,0.010041598972236911,3.5
28,0.00694770458463649,3.6
28,0.0047992459068490695,3.7
28,0.0038683423604932137,3.8
28,0.008415846571473042,3.9
28,0.0015286940587199737,4.0
