subject,score,t
29,0.0028640010013711473,-1.0
29,0.021000218425615415,-0.9
29,0.018552250378420673,-0.8
29,0.017131017281476865,-0.7
29,0.009312755069046523,-0.6
29,0.002137424639709183,-0.5
29,0.0026387111645782336,-0.4
29,0.010684861375358285,-0.3
29,0.010929288173233244,-0.2
29,0.016076614649378262,-0.1
29,0.002594901575379313,0.0
29,-0.006277952391218435,0.1
29,-0.004549344413125821,0.2
29,-0.0021678265595323214,0.3
29,-0.01720098804807233,0.4
29,0.001195076627406761,0.5
29,-0.004992088787257992,0.6
29,-0.010909988740129802,0.7
29,-0.009723308686000869,0.8
29,-0.010727982135194597,0.9
29,0.005161587092034139,1.0
29,0.011758022254472698,1.1
29,-0.00040686916230449436,1.2
29,0.03345158685126438,1.3
29,0.030345663604597232,1.4
29,0.04732035057300587,1.5
29,0.037658390349682276,1.6
29,0.003744264589812462,1.7
29,0.025551838648036968,1.8
29,0.024551218203098368,1.9
29,0.01684674776961085,2.0
29,0.018016648177615203,2.1
29,-0.003120630287622801,2.2
29,-0.009025578978998725,2.3
29,0.011381396123828063,2.4
29,0.011678694472748804,2.5
29,0.001706282704055728,2.6
29,0.0016755873921183624,2.7
29,-0.005543223817846423,2.8
29,0.006904363492926612,2.9
29,0.010485215599988997,3.0
29,0.00339309584208286,3.1
29,0.006644012959544861,3.2
29,-0.010003293492785958,3.3
29,-0.0053898731423898125,3.4
29,-0.0008059235165137224,3.5
29,-0.006037517829545528,3.6
29,0.00711288667911331,3.7
29,0.008434831932098154,3.8
29,0.006073714717803431,3.9
29,-0.004226006515477144,4.0
