	Unnamed: 0	onset	duration	trial_type
1714	1714	31.21	0.1799999999999997	{'kind': 'word', 'word': 'une'}
1715	1715	31.39	0.0599999999999987	{'kind': 'word', 'word': 'd'}
1716	1716	31.45	0.3599999999999994	{'kind': 'word', 'word': 'elles'}
1717	1717	32.06	0.2100000000000008	{'kind': 'word', 'word': 'il'}
1718	1718	32.27	0.1599999999999966	{'kind': 'word', 'word': 'lui'}
1719	1719	32.43	0.2999999999999971	{'kind': 'word', 'word': 'donne'}
1720	1720	32.73	0.2300000000000039	{'kind': 'word', 'word': 'pour'}
1721	1721	32.96	0.3299999999999983	{'kind': 'word', 'word': 'nom'}
1722	1722	33.29	0.1600000000000037	{'kind': 'word', 'word': 'un'}
1723	1723	33.45	0.5899999999999963	{'kind': 'word', 'word': 'numéro'}
1724	1724	34.77	0.2299999999999968	{'kind': 'word', 'word': 'il'}
1725	1725	35.0	0.0200000000000031	{'kind': 'word', 'word': 'l'}
1726	1726	35.02	0.3499999999999943	{'kind': 'word', 'word': 'appelle'}
1727	1727	35.37	0.1600000000000037	{'kind': 'word', 'word': 'par'}
1728	1728	35.53	0.6099999999999994	{'kind': 'word', 'word': 'exemple'}
1729	1729	36.45	0.1499999999999985	{'kind': 'word', 'word': 'l'}
1730	1730	36.6	0.8099999999999952	{'kind': 'word', 'word': 'astéroïde'}
1731	1731	37.41	1.6851740000000035	{'kind': 'word', 'word': '3251'}
1732	1732	40.18323400000001	0.1167659999999841	{'kind': 'word', 'word': 'j'}
1733	1733	40.3	0.0406680000000037	{'kind': 'word', 'word': 'ai'}
1734	1734	40.340668	0.0993319999999968	{'kind': 'word', 'word': 'de'}
1735	1735	40.44	0.6099999999999994	{'kind': 'word', 'word': 'sérieuses'}
1736	1736	41.05	0.3500000000000014	{'kind': 'word', 'word': 'raisons'}
1737	1737	41.4	0.1200000000000045	{'kind': 'word', 'word': 'de'}
1738	1738	41.52	0.3899999999999934	{'kind': 'word', 'word': 'croire'}
1739	1739	41.91	0.1000000000000014	{'kind': 'word', 'word': 'que'}
1740	1740	42.01	0.1600000000000037	{'kind': 'word', 'word': 'la'}
1741	1741	42.17	0.4899999999999949	{'kind': 'word', 'word': 'planète'}
1742	1742	42.66	0.0800000000000054	{'kind': 'word', 'word': 'd'}
1743	1743	42.74	0.1099999999999994	{'kind': 'word', 'word': 'où'}
1744	1744	42.85	0.2899999999999991	{'kind': 'word', 'word': 'venait'}
1745	1745	43.14	0.1199999999999974	{'kind': 'word', 'word': 'le'}
1746	1746	43.26	0.3400000000000034	{'kind': 'word', 'word': 'petit'}
1747	1747	43.6	0.490000000000002	{'kind': 'word', 'word': 'prince'}
1748	1748	44.44	0.1700000000000017	{'kind': 'word', 'word': 'est'}
1749	1749	44.61	0.0700000000000002	{'kind': 'word', 'word': 'l'}
1750	1750	44.68	0.8599999999999994	{'kind': 'word', 'word': 'astéroïde'}
1751	1751	45.58	0.3599999999999994	{'kind': 'word', 'word': 'b'}
1752	1752	46.04	0.8999999999999986	{'kind': 'word', 'word': '612'}
1753	1753	47.9	0.2300000000000039	{'kind': 'word', 'word': 'cet'}
1754	1754	48.13	0.7299999999999969	{'kind': 'word', 'word': 'astéroïde'}
1755	1755	48.86	0.1499999999999985	{'kind': 'word', 'word': 'n'}
1756	1756	49.01	0.0399999999999991	{'kind': 'word', 'word': 'a'}
1757	1757	49.11	0.2300000000000039	{'kind': 'word', 'word': 'été'}
1758	1758	49.34	0.6199999999999974	{'kind': 'word', 'word': 'aperçu'}
1759	1759	50.02	0.0999999999999943	{'kind': 'word', 'word': 'qu'}
1760	1760	50.12	0.1799999999999997	{'kind': 'word', 'word': 'une'}
1761	1761	50.3	0.240000000000002	{'kind': 'word', 'word': 'fois'}
1762	1762	50.54	0.0450000000000017	{'kind': 'word', 'word': 'au'}
1763	1763	50.585	0.0450000000000017	{'kind': 'word', 'word': ' '}
1764	1764	50.63	0.759999999999998	{'kind': 'word', 'word': 'télescope'}
1765	1765	51.59	0.1199999999999974	{'kind': 'word', 'word': 'en'}
1766	1766	51.71	1.019999999999996	{'kind': 'word', 'word': '1909'}
1767	1767	52.97	0.1899999999999977	{'kind': 'word', 'word': 'par'}
1768	1768	53.16	0.1300000000000025	{'kind': 'word', 'word': 'un'}
1769	1769	53.29	0.6700000000000017	{'kind': 'word', 'word': 'astronome'}
1770	1770	53.96	0.6099999999999994	{'kind': 'word', 'word': 'turc'}
1771	1771	55.36	0.1499999999999985	{'kind': 'word', 'word': 'il'}
1772	1772	55.51	0.25	{'kind': 'word', 'word': 'avait'}
1773	1773	55.76	0.2199999999999988	{'kind': 'word', 'word': 'fait'}
1774	1774	55.98	0.3800000000000025	{'kind': 'word', 'word': 'alors'}
1775	1775	56.36	0.1600000000000037	{'kind': 'word', 'word': 'une'}
1776	1776	56.52	0.6099999999999994	{'kind': 'word', 'word': 'grande'}
1777	1777	57.13	0.759999999999998	{'kind': 'word', 'word': 'démonstration'}
1778	1778	57.89	0.1099999999999994	{'kind': 'word', 'word': 'de'}
1779	1779	58.0	0.1799999999999997	{'kind': 'word', 'word': 'sa'}
1780	1780	58.18	0.7199999999999989	{'kind': 'word', 'word': 'découverte'}
1781	1781	58.9	0.0300000000000011	{'kind': 'word', 'word': 'à'}
1782	1782	58.93	0.2999999999999971	{'kind': 'word', 'word': 'un'}
1783	1783	59.28	0.5700000000000003	{'kind': 'word', 'word': 'congrès'}
1784	1784	59.85	0.8799999999999955	{'kind': 'word', 'word': 'international'}
1785	1785	60.73	0.1000000000000014	{'kind': 'word', 'word': 'd'}
1786	1786	60.83	0.6600000000000037	{'kind': 'word', 'word': 'astronomie'}
1787	1787	62.16	0.25	{'kind': 'word', 'word': 'mais'}
1788	1788	62.41	0.5700000000000003	{'kind': 'word', 'word': 'personne'}
1789	1789	62.98	0.0200000000000031	{'kind': 'word', 'word': 'ne'}
1790	1790	63.0	0.1000000000000014	{'kind': 'word', 'word': 'l'}
1791	1791	63.1	0.1799999999999997	{'kind': 'word', 'word': 'avait'}
1792	1792	63.28	0.3399999999999963	{'kind': 'word', 'word': 'cru'}
1793	1793	63.83	0.1200000000000045	{'kind': 'word', 'word': 'à'}
1794	1794	63.95	0.2199999999999988	{'kind': 'word', 'word': 'cause'}
1795	1795	64.17	0.0999999999999943	{'kind': 'word', 'word': 'de'}
1796	1796	64.27	0.1800000000000068	{'kind': 'word', 'word': 'son'}
1797	1797	64.45	0.6099999999999994	{'kind': 'word', 'word': 'costume'}
1798	1798	65.68	0.1199999999999903	{'kind': 'word', 'word': 'les'}
1799	1799	65.8	0.2400000000000091	{'kind': 'word', 'word': 'grandes'}
1800	1800	66.04	0.4299999999999926	{'kind': 'word', 'word': 'personnes'}
1801	1801	66.47	0.1599999999999966	{'kind': 'word', 'word': 'sont'}
1802	1802	66.63	0.2100000000000079	{'kind': 'word', 'word': 'comme'}
1803	1803	66.84	0.2000000000000028	{'kind': 'word', 'word': 'ça'}
1804	1804	68.27	0.6500000000000057	{'kind': 'word', 'word': 'heureusement'}
1805	1805	68.92	0.1200000000000045	{'kind': 'word', 'word': 'pour'}
1806	1806	69.04	0.1400000000000005	{'kind': 'word', 'word': 'la'}
1807	1807	69.18	0.769999999999996	{'kind': 'word', 'word': 'réputation'}
1808	1808	69.95	0.1400000000000005	{'kind': 'word', 'word': 'de'}
1809	1809	70.09	0.0600000000000022	{'kind': 'word', 'word': 'l'}
1810	1810	70.15	0.7800000000000011	{'kind': 'word', 'word': 'astéroïde'}
1811	1811	70.93	0.2599999999999909	{'kind': 'word', 'word': 'b'}
1812	1812	71.19	0.8200000000000074	{'kind': 'word', 'word': '612'}
1813	1813	72.48	0.1599999999999966	{'kind': 'word', 'word': 'un'}
1814	1814	72.64	0.6700000000000017	{'kind': 'word', 'word': 'dictateur'}
1815	1815	73.31	0.4099999999999966	{'kind': 'word', 'word': 'turc'}
1816	1816	73.83	0.6400000000000006	{'kind': 'word', 'word': 'imposa'}
1817	1817	74.47	0.019999999999996	{'kind': 'word', 'word': 'à'}
1818	1818	74.49	0.2000000000000028	{'kind': 'word', 'word': 'son'}
1819	1819	74.69	0.4200000000000017	{'kind': 'word', 'word': 'peuple'}
1820	1820	75.29	0.2099999999999937	{'kind': 'word', 'word': 'sous'}
1821	1821	75.5	0.3900000000000005	{'kind': 'word', 'word': 'peine'}
1822	1822	75.89	0.1400000000000005	{'kind': 'word', 'word': 'de'}
1823	1823	76.03	0.5100000000000051	{'kind': 'word', 'word': 'mort'}
1824	1824	76.83	0.1500000000000056	{'kind': 'word', 'word': 'de'}
1825	1825	76.98	0.1499999999999914	{'kind': 'word', 'word': 's'}
1826	1826	77.13	0.5	{'kind': 'word', 'word': 'habiller'}
1827	1827	77.63	0.0600000000000022	{'kind': 'word', 'word': 'à'}
1828	1828	77.69	0.0400000000000062	{'kind': 'word', 'word': 'l'}
1829	1829	77.73	0.769999999999996	{'kind': 'word', 'word': 'européenne'}
1830	1830	79.53	0.1200000000000045	{'kind': 'word', 'word': 'l'}
1831	1831	79.65	0.5899999999999892	{'kind': 'word', 'word': 'astronome'}
1832	1832	80.24	0.3200000000000074	{'kind': 'word', 'word': 'refit'}
1833	1833	80.56	0.2199999999999988	{'kind': 'word', 'word': 'sa'}
1834	1834	80.78	0.8299999999999983	{'kind': 'word', 'word': 'démonstration'}
1835	1835	81.61	0.0900000000000034	{'kind': 'word', 'word': 'en'}
1836	1836	81.7	0.9899999999999948	{'kind': 'word', 'word': '1920'}
1837	1837	82.87	0.2299999999999897	{'kind': 'word', 'word': 'dans'}
1838	1838	83.1	0.1700000000000017	{'kind': 'word', 'word': 'un'}
1839	1839	83.27	0.3200000000000074	{'kind': 'word', 'word': 'habit'}
1840	1840	83.59	0.5499999999999972	{'kind': 'word', 'word': 'très'}
1841	1841	84.14	0.480000000000004	{'kind': 'word', 'word': 'élégant'}
1842	1842	85.19	0.0600000000000022	{'kind': 'word', 'word': 'et'}
1843	1843	85.25	0.2600000000000051	{'kind': 'word', 'word': 'cette'}
1844	1844	85.51	0.1999999999999886	{'kind': 'word', 'word': 'fois'}
1845	1845	85.71	0.3300000000000125	{'kind': 'word', 'word': '-ci'}
1846	1846	86.32	0.2100000000000079	{'kind': 'word', 'word': 'tout'}
1847	1847	86.53	0.1200000000000045	{'kind': 'word', 'word': 'le'}
1848	1848	86.65	0.3299999999999983	{'kind': 'word', 'word': 'monde'}
1849	1849	86.98	0.2000000000000028	{'kind': 'word', 'word': 'fut'}
1850	1850	87.18	0.1299999999999954	{'kind': 'word', 'word': 'de'}
1851	1851	87.31	0.25	{'kind': 'word', 'word': 'son'}
1852	1852	87.56	0.269999999999996	{'kind': 'word', 'word': 'avis'}
1853	1853	89.205748	0.191518000000002	{'kind': 'word', 'word': 'si'}
1854	1854	89.397266	0.1558119999999974	{'kind': 'word', 'word': 'je'}
1855	1855	89.553078	0.2369640000000004	{'kind': 'word', 'word': 'vous'}
1856	1856	89.790042	0.0899579999999957	{'kind': 'word', 'word': 'ai'}
1857	1857	89.88	0.5100000000000051	{'kind': 'word', 'word': 'raconté'}
1858	1858	90.39	0.1400000000000005	{'kind': 'word', 'word': 'ces'}
1859	1859	90.53	0.5699999999999932	{'kind': 'word', 'word': 'détails'}
1860	1860	91.15	0.1899999999999977	{'kind': 'word', 'word': 'sur'}
1861	1861	91.34	0.0699999999999931	{'kind': 'word', 'word': 'l'}
1862	1862	91.41	0.75	{'kind': 'word', 'word': 'astéroïde'}
1863	1863	92.16	0.2400000000000091	{'kind': 'word', 'word': 'b'}
1864	1864	92.4	0.8199999999999932	{'kind': 'word', 'word': '612'}
1865	1865	93.75	0.0600000000000022	{'kind': 'word', 'word': 'et'}
1866	1866	93.81	0.2000000000000028	{'kind': 'word', 'word': 'si'}
1867	1867	94.01	0.1499999999999914	{'kind': 'word', 'word': 'je'}
1868	1868	94.16	0.1700000000000017	{'kind': 'word', 'word': 'vous'}
1869	1869	94.33	0.1500000000000056	{'kind': 'word', 'word': 'ai'}
1870	1870	94.48	0.4799999999999897	{'kind': 'word', 'word': 'confié'}
1871	1871	94.96	0.1900000000000119	{'kind': 'word', 'word': 'son'}
1872	1872	95.15	0.5099999999999909	{'kind': 'word', 'word': 'numéro'}
1873	1873	95.97	0.0900000000000034	{'kind': 'word', 'word': 'c'}
1874	1874	96.06	0.1299999999999954	{'kind': 'word', 'word': 'est'}
1875	1875	96.19	0.0900000000000034	{'kind': 'word', 'word': 'à'}
1876	1876	96.28	0.2800000000000011	{'kind': 'word', 'word': 'cause'}
1877	1877	96.56	0.1099999999999994	{'kind': 'word', 'word': 'des'}
1878	1878	96.67	0.2600000000000051	{'kind': 'word', 'word': 'grandes'}
