subject,score,t
26,0.006682143503543889,-0.5
26,0.015483528646668463,-0.4
26,-0.006731027094308478,-0.3
26,-0.0034513729152697843,-0.2
26,-0.0015129742193485112,-0.1
26,0.0038351789073797307,0.0
26,-0.0030694442359886095,0.1
26,0.009677269425677775,0.2
26,0.013531383082388057,0.3
26,0.018408176889036187,0.4
26,0.020134820929472632,0.5
26,0.00913865189445431,0.6
26,0.0061944197856284655,0.7
26,-0.013798882144101252,0.8
26,0.0005550122728843597,0.9
26,-0.007696748814534028,1.0
26,0.004825661965708708,1.1
26,0.005191479721737002,1.2
26,0.014873281400399988,1.3
26,0.017554284347757406,1.4
26,0.015025264512856575,1.5
26,0.007647318167346415,1.6
26,-0.009326028553961757,1.7
26,-0.010739057999958902,1.8
26,0.004910226563344986,1.9
26,-0.011551695793249049,2.0
