word	onset	duration
le	81.9	0.25
compte	82.20000000000002	0.25
des	82.50000000000001	0.25
villes,	82.80000000000001	0.25
des	83.10000000000001	0.25
fleuves,	83.40000000000002	0.25
des	83.70000000000002	0.25
montagnes,	84.00000000000001	0.25
des	84.30000000000001	0.25
mers,	84.60000000000001	0.25
des	84.90000000000002	0.25
océans	85.20000000000002	0.25
et	85.50000000000001	0.25
des	85.80000000000001	0.25
déserts.	86.10000000000001	0.25
Le	86.90000000000002	0.25
géographe	87.20000000000002	0.25
est	87.50000000000001	0.25
trop	87.80000000000001	0.25
important	88.10000000000001	0.25
pour	88.40000000000002	0.25
flâner.	88.70000000000002	0.25
Il	89.50000000000001	0.25
ne	89.80000000000001	0.25
quitte	90.10000000000001	0.25
pas	90.40000000000002	0.25
son	90.70000000000002	0.25
bureau.	91.00000000000001	0.25
Mais	91.80000000000001	0.25
il	92.10000000000001	0.25
y	92.40000000000002	0.25
reçoit	92.70000000000002	0.25
les	93.00000000000001	0.25
explorateurs.	93.30000000000001	0.25
Il	94.10000000000001	0.25
les	94.40000000000002	0.25
interroge,	94.70000000000002	0.25
et	95.00000000000001	0.25
il	95.30000000000001	0.25
prend	95.60000000000001	0.25
en	95.90000000000002	0.25
note	96.20000000000002	0.25
leurs	96.50000000000001	0.25
souvenirs.	96.80000000000001	0.25
Et	97.60000000000001	0.25
si	97.90000000000002	0.25
les	98.20000000000002	0.25
souvenirs	98.50000000000001	0.25
de	98.80000000000001	0.25
l'un	99.10000000000001	0.25
d'entre	99.40000000000002	0.25
eux	99.70000000000002	0.25
lui	100.00000000000001	0.25
paraissent	100.30000000000001	0.25
intéressants,	100.60000000000001	0.25
le	100.90000000000002	0.25
géographe	101.20000000000002	0.25
fait	101.50000000000001	0.25
faire	101.80000000000001	0.25
une	102.10000000000001	0.25
enquête	102.40000000000002	0.25
sur	102.70000000000002	0.25
la	103.00000000000001	0.25
moralité	103.30000000000001	0.25
de	103.60000000000001	0.25
l'explorateur.	103.90000000000002	0.25
Pourquoi	104.70000000000002	0.25
ça?	105.00000000000001	0.25
Parce	105.80000000000001	0.25
qu'un	106.10000000000001	0.25
explorateur	106.40000000000002	0.25
qui	106.70000000000002	0.25
mentirait	107.00000000000001	0.25
entraînerait	107.30000000000001	0.25
des	107.60000000000002	0.25
catastrophes	107.90000000000002	0.25
dans	108.20000000000002	0.25
les	108.50000000000001	0.25
livres	108.80000000000001	0.25
de	109.10000000000002	0.25
géographie.	109.40000000000002	0.25
Et	110.20000000000002	0.25
aussi	110.50000000000001	0.25
un	110.80000000000001	0.25
explorateur	111.10000000000002	0.25
qui	111.40000000000002	0.25
boirait	111.70000000000002	0.25
trop.	112.00000000000001	0.25
Pourquoi	112.80000000000001	0.25
ça?	113.10000000000002	0.25
Fit	113.90000000000002	0.25
le	114.20000000000002	0.25
petit	114.50000000000001	0.25
prince.	114.80000000000001	0.25
Parce	115.60000000000002	0.25
que	115.90000000000002	0.25
les	116.20000000000002	0.25
ivrognes	116.50000000000001	0.25
voient	116.80000000000001	0.25
double.	117.10000000000002	0.25
Alors	117.90000000000002	0.25
