word	onset	duration	trial_type
les	35.900000000000006	0.25	{'kind': 'word', 'word': 'les'}
déserts.	36.2	0.25	{'kind': 'word', 'word': 'déserts'}
Ça	37.0	0.25	{'kind': 'word', 'word': 'Ça'}
c'est	37.3	0.25	{'kind': 'word', 'word': 'cest'}
bien	37.60000000000001	0.25	{'kind': 'word', 'word': 'bien'}
intéressant,	37.900000000000006	0.25	{'kind': 'word', 'word': 'intéressant'}
dit	38.2	0.25	{'kind': 'word', 'word': 'dit'}
le	38.5	0.25	{'kind': 'word', 'word': 'le'}
petit	38.8	0.25	{'kind': 'word', 'word': 'petit'}
prince.	39.10000000000001	0.25	{'kind': 'word', 'word': 'prince'}
Ça	39.900000000000006	0.25	{'kind': 'word', 'word': 'Ça'}
c'est	40.2	0.25	{'kind': 'word', 'word': 'cest'}
enfin	40.50000000000001	0.25	{'kind': 'word', 'word': 'enfin'}
un	40.8	0.25	{'kind': 'word', 'word': 'un'}
véritable	41.10000000000001	0.25	{'kind': 'word', 'word': 'véritable'}
métier!»	41.400000000000006	0.25	{'kind': 'word', 'word': 'métier»'}
Et	42.20000000000001	0.25	{'kind': 'word', 'word': 'Et'}
il	42.50000000000001	0.25	{'kind': 'word', 'word': 'il'}
jeta	42.80000000000001	0.25	{'kind': 'word', 'word': 'jeta'}
un	43.10000000000001	0.25	{'kind': 'word', 'word': 'un'}
coup	43.400000000000006	0.25	{'kind': 'word', 'word': 'coup'}
d'oeil	43.70000000000001	0.25	{'kind': 'word', 'word': 'doeil'}
autour	44.00000000000001	0.25	{'kind': 'word', 'word': 'autour'}
de	44.30000000000001	0.25	{'kind': 'word', 'word': 'de'}
lui	44.60000000000001	0.25	{'kind': 'word', 'word': 'lui'}
sur	44.900000000000006	0.25	{'kind': 'word', 'word': 'sur'}
la	45.20000000000001	0.25	{'kind': 'word', 'word': 'la'}
planète	45.50000000000001	0.25	{'kind': 'word', 'word': 'planète'}
du	45.80000000000001	0.25	{'kind': 'word', 'word': 'du'}
géographe.	46.10000000000001	0.25	{'kind': 'word', 'word': 'géographe'}
Il	46.900000000000006	0.25	{'kind': 'word', 'word': 'Il'}
n'avait	47.20000000000001	0.25	{'kind': 'word', 'word': 'navait'}
jamais	47.50000000000001	0.25	{'kind': 'word', 'word': 'jamais'}
vu	47.80000000000001	0.25	{'kind': 'word', 'word': 'vu'}
encore	48.10000000000001	0.25	{'kind': 'word', 'word': 'encore'}
une	48.400000000000006	0.25	{'kind': 'word', 'word': 'une'}
planète	48.70000000000001	0.25	{'kind': 'word', 'word': 'planète'}
aussi	49.00000000000001	0.25	{'kind': 'word', 'word': 'aussi'}
majestueuse.	49.30000000000001	0.25	{'kind': 'word', 'word': 'majestueuse'}
«elle	50.10000000000001	0.25	{'kind': 'word', 'word': '«elle'}
est	50.400000000000006	0.25	{'kind': 'word', 'word': 'est'}
bien	50.70000000000001	0.25	{'kind': 'word', 'word': 'bien'}
belle,	51.00000000000001	0.25	{'kind': 'word', 'word': 'belle'}
votre	51.30000000000001	0.25	{'kind': 'word', 'word': 'votre'}
planète.	51.60000000000001	0.25	{'kind': 'word', 'word': 'planète'}
Est-ce	52.400000000000006	0.25	{'kind': 'word', 'word': 'Estce'}
qu'il	52.70000000000001	0.25	{'kind': 'word', 'word': 'quil'}
y	53.00000000000001	0.25	{'kind': 'word', 'word': 'y'}
a	53.30000000000001	0.25	{'kind': 'word', 'word': 'a'}
des	53.60000000000001	0.25	{'kind': 'word', 'word': 'des'}
océans?	53.900000000000006	0.25	{'kind': 'word', 'word': 'océans'}
Je	54.70000000000001	0.25	{'kind': 'word', 'word': 'Je'}
ne	55.00000000000001	0.25	{'kind': 'word', 'word': 'ne'}
puis	55.30000000000001	0.25	{'kind': 'word', 'word': 'puis'}
pas	55.60000000000001	0.25	{'kind': 'word', 'word': 'pas'}
le	55.90000000000001	0.25	{'kind': 'word', 'word': 'le'}
savoir,	56.20000000000001	0.25	{'kind': 'word', 'word': 'savoir'}
dit	56.50000000000001	0.25	{'kind': 'word', 'word': 'dit'}
le	56.80000000000001	0.25	{'kind': 'word', 'word': 'le'}
géographe.	57.10000000000001	0.25	{'kind': 'word', 'word': 'géographe'}
Ah!	57.90000000000001	0.25	{'kind': 'word', 'word': 'Ah'}
Le	58.70000000000001	0.25	{'kind': 'word', 'word': 'Le'}
petit	59.00000000000001	0.25	{'kind': 'word', 'word': 'petit'}
prince	59.30000000000001	0.25	{'kind': 'word', 'word': 'prince'}
était	59.60000000000001	0.25	{'kind': 'word', 'word': 'était'}
déçu.	59.90000000000001	0.25	{'kind': 'word', 'word': 'déçu'}
Et	60.70000000000001	0.25	{'kind': 'word', 'word': 'Et'}
des	61.00000000000001	0.25	{'kind': 'word', 'word': 'des'}
montagnes?	61.30000000000001	0.25	{'kind': 'word', 'word': 'montagnes'}
Je	62.10000000000001	0.25	{'kind': 'word', 'word': 'Je'}
ne	62.40000000000001	0.25	{'kind': 'word', 'word': 'ne'}
puis	62.70000000000001	0.25	{'kind': 'word', 'word': 'puis'}
pas	63.00000000000001	0.25	{'kind': 'word', 'word': 'pas'}
le	63.30000000000001	0.25	{'kind': 'word', 'word': 'le'}
savoir,	63.60000000000001	0.25	{'kind': 'word', 'word': 'savoir'}
dit	63.90000000000001	0.25	{'kind': 'word', 'word': 'dit'}
le	64.20000000000002	0.25	{'kind': 'word', 'word': 'le'}
géographe.	64.5	0.25	{'kind': 'word', 'word': 'géographe'}
Et	65.30000000000001	0.25	{'kind': 'word', 'word': 'Et'}
des	65.60000000000001	0.25	{'kind': 'word', 'word': 'des'}
villes	65.9	0.25	{'kind': 'word', 'word': 'villes'}
et	66.20000000000002	0.25	{'kind': 'word', 'word': 'et'}
des	66.50000000000001	0.25	{'kind': 'word', 'word': 'des'}
fleuves	66.80000000000001	0.25	{'kind': 'word', 'word': 'fleuves'}
et	67.10000000000001	0.25	{'kind': 'word', 'word': 'et'}
des	67.4	0.25	{'kind': 'word', 'word': 'des'}
déserts?	67.70000000000002	0.25	{'kind': 'word', 'word': 'déserts'}
Je	68.50000000000001	0.25	{'kind': 'word', 'word': 'Je'}
ne	68.80000000000001	0.25	{'kind': 'word', 'word': 'ne'}
puis	69.10000000000001	0.25	{'kind': 'word', 'word': 'puis'}
pas	69.4	0.25	{'kind': 'word', 'word': 'pas'}
le	69.70000000000002	0.25	{'kind': 'word', 'word': 'le'}
savoir	70.00000000000001	0.25	{'kind': 'word', 'word': 'savoir'}
non	70.30000000000001	0.25	{'kind': 'word', 'word': 'non'}
plus,	70.60000000000001	0.25	{'kind': 'word', 'word': 'plus'}
dit	70.9	0.25	{'kind': 'word', 'word': 'dit'}
le	71.20000000000002	0.25	{'kind': 'word', 'word': 'le'}
géographe.	71.50000000000001	0.25	{'kind': 'word', 'word': 'géographe'}
Mais	72.30000000000001	0.25	{'kind': 'word', 'word': 'Mais'}
vous	72.60000000000001	0.25	{'kind': 'word', 'word': 'vous'}
êtes	72.9	0.25	{'kind': 'word', 'word': 'êtes'}
géographe!	73.20000000000002	0.25	{'kind': 'word', 'word': 'géographe'}
C'est	74.00000000000001	0.25	{'kind': 'word', 'word': 'Cest'}
