word	onset	duration
Il	0.7	0.3
y	1.0499999999999998	0.3
avait,	1.3999999999999997	0.3
à	1.7499999999999996	0.3
côté	2.0999999999999996	0.3
du	2.4499999999999993	0.3
puits,	2.799999999999999	0.3
une	3.1499999999999995	0.3
ruine	3.499999999999999	0.3
de	3.8499999999999988	0.3
vieux	4.199999999999998	0.3
mur	4.549999999999999	0.3
de	4.899999999999999	0.3
pierre.	5.249999999999998	0.3
Lorsque	5.799999999999999	0.3
je	6.149999999999999	0.3
revins	6.499999999999998	0.3
de	6.849999999999998	0.3
mon	7.1999999999999975	0.3
travail,	7.549999999999998	0.3
le	7.899999999999998	0.3
lendemain	8.249999999999996	0.3
soir,	8.599999999999996	0.3
j'aperçus	8.949999999999996	0.3
de	9.299999999999995	0.3
loin	9.649999999999995	0.3
mon	9.999999999999995	0.3
petit	10.349999999999994	0.3
prince	10.699999999999996	0.3
assis	11.049999999999995	0.3
là-haut,	11.399999999999995	0.3
les	11.749999999999995	0.3
jambes	12.099999999999994	0.3
pendantes.	12.449999999999994	0.3
Et	12.999999999999993	0.3
je	13.349999999999993	0.3
l'entendis	13.699999999999992	0.3
qui	14.049999999999994	0.3
parlait:	14.399999999999993	0.3
"""tu"	14.749999999999993	0.3
ne	15.099999999999993	0.3
t'en	15.449999999999992	0.3
souviens	15.799999999999992	0.3
donc	16.14999999999999	0.3
pas?	16.499999999999993	0.3
Disait-il.	17.049999999999994	0.3
Ce	17.59999999999999	0.3
n'est	17.94999999999999	0.3
pas	18.29999999999999	0.3
tout	18.64999999999999	0.3
à	18.99999999999999	0.3
fait	19.34999999999999	0.3
"ici!"""	19.69999999999999	0.3
Une	20.24999999999999	0.3
autre	20.599999999999987	0.3
voix	20.94999999999999	0.3
lui	21.29999999999999	0.3
répondit	21.649999999999988	0.3
sans	21.99999999999999	0.3
doute,	22.349999999999987	0.3
puisqu'il	22.69999999999999	0.3
répliqua:	23.049999999999986	0.3
"""si!"	23.399999999999988	0.3
Si!	23.949999999999985	0.3
C'est	24.499999999999986	0.3
bien	24.849999999999987	0.3
le	25.199999999999985	0.3
jour,	25.549999999999986	0.3
mais	25.899999999999984	0.3
ce	26.249999999999986	0.3
n'est	26.599999999999984	0.3
pas	26.949999999999985	0.3
ici	27.299999999999983	0.3
"l'endroit..."""	27.649999999999984	0.3
Je	28.199999999999985	0.3
poursuivis	28.549999999999983	0.3
ma	28.899999999999984	0.3
marche	29.249999999999982	0.3
vers	29.599999999999984	0.3
le	29.94999999999998	0.3
mur.	30.299999999999983	0.3
Je	30.849999999999984	0.3
ne	31.19999999999998	0.3
voyais	31.549999999999983	0.3
ni	31.89999999999998	0.3
n'entendais	32.249999999999986	0.3
toujours	32.59999999999999	0.3
personne.	32.949999999999996	0.3
Pourtant	33.50000000000001	0.3
le	33.850000000000016	0.3
petit	34.20000000000002	0.3
prince	34.55000000000002	0.3
répliqua	34.90000000000002	0.3
de	35.25000000000002	0.3
nouveau:	35.600000000000016	0.3
"""..."	35.95000000000002	0.3
Bien	36.50000000000002	0.3
sûr.	36.85000000000002	0.3
Tu	37.40000000000003	0.3
verras	37.75000000000002	0.3
où	38.10000000000002	0.3
commence	38.450000000000024	0.3
ma	38.800000000000026	0.3
trace	39.15000000000002	0.3
dans	39.50000000000002	0.3
le	39.85000000000002	0.3
sable.	40.200000000000024	0.3
Tu	40.75000000000003	0.3
n'as	41.10000000000002	0.3
qu'à	41.450000000000024	0.3
m'y	41.800000000000026	0.3
attendre.	42.15000000000003	0.3
J'y	42.70000000000003	0.3
serai	43.050000000000026	0.3
cette	43.40000000000003	0.3
"nuit."""	43.75000000000003	0.3
J'étais	44.30000000000003	0.3
à	44.65000000000003	0.3
vingt	45.00000000000003	0.3
mètres	45.35000000000003	0.3
du	45.70000000000003	0.3
mur	46.05000000000003	0.3
et	46.40000000000003	0.3
je	46.75000000000003	0.3
ne	47.10000000000003	0.3
voyais	47.45000000000003	0.3
toujours	47.800000000000026	0.3
rien.	48.15000000000003	0.3
Le	48.70000000000003	0.3
petit	49.05000000000003	0.3
prince	49.400000000000034	0.3
dit	49.75000000000003	0.3
encore,	50.10000000000003	0.3
après	50.45000000000003	0.3
un	50.80000000000003	0.3
silence:	51.15000000000003	0.3
"""tu"	51.50000000000003	0.3
as	51.85000000000003	0.3
du	52.20000000000003	0.3
bon	52.55000000000003	0.3
venin?	52.90000000000003	0.3
Tu	53.45000000000003	0.3
es	53.80000000000003	0.3
sûr	54.150000000000034	0.3
de	54.50000000000003	0.3
ne	54.85000000000003	0.3
pas	55.20000000000003	0.3
me	55.55000000000003	0.3
faire	55.900000000000034	0.3
souffrir	56.25000000000003	0.3
"longtemps?"""	56.60000000000003	0.3
Je	57.150000000000034	0.3
fis	57.500000000000036	0.3
halte,	57.85000000000004	0.3
le	58.20000000000003	0.3
coeur	58.55000000000003	0.3
serré,	58.900000000000034	0.3
mais	59.250000000000036	0.3
je	59.60000000000003	0.3
ne	59.95000000000003	0.3
comprenais	60.30000000000003	0.3
toujours	60.650000000000034	0.3
pas.	61.000000000000036	0.3
"""maintenant,"	61.55000000000003	0.3
va-t'en,	61.900000000000034	0.3
dit-il...	62.250000000000036	0.3
Je	62.80000000000004	0.3
veux	63.150000000000034	0.3
"redescendre!"""	63.500000000000036	0.3
Alors	64.05000000000004	0.3
j'abaissai	64.40000000000003	0.3
moi-même	64.75000000000004	0.3
les	65.10000000000004	0.3
yeux	65.45000000000003	0.3
vers	65.80000000000004	0.3
le	66.15000000000003	0.3
pied	66.50000000000004	0.3
du	66.85000000000004	0.3
mur,	67.20000000000003	0.3
et	67.55000000000004	0.3
je	67.90000000000003	0.3
fis	68.25000000000003	0.3
un	68.60000000000004	0.3
bond!	68.95000000000003	0.3
Il	69.50000000000004	0.3
était	69.85000000000004	0.3
là,	70.20000000000005	0.3
dressé	70.55000000000004	0.3
vers	70.90000000000003	0.3
le	71.25000000000004	0.3
petit	71.60000000000004	0.3
prince,	71.95000000000005	0.3
un	72.30000000000004	0.3
de	72.65000000000003	0.3
ces	73.00000000000004	0.3
serpents	73.35000000000004	0.3
jaunes	73.70000000000005	0.3
qui	74.05000000000004	0.3
vous	74.40000000000003	0.3
exécutent	74.75000000000004	0.3
en	75.10000000000004	0.3
trente	75.45000000000005	0.3
secondes.	75.80000000000004	0.3
Tout	76.35000000000004	0.3
en	76.70000000000005	0.3
fouillant	77.05000000000004	0.3
ma	77.40000000000003	0.3
poche	77.75000000000004	0.3
pour	78.10000000000004	0.3
en	78.45000000000005	0.3
tirer	78.80000000000004	0.3
mon	79.15000000000003	0.3
revolver,	79.50000000000004	0.3
je	79.85000000000004	0.3
pris	80.20000000000005	0.3
le	80.55000000000004	0.3
pas	80.90000000000003	0.3
de	81.25000000000004	0.3
course,	81.60000000000004	0.3
mais,	81.95000000000005	0.3
au	82.30000000000004	0.3
bruit	82.65000000000003	0.3
que	83.00000000000004	0.3
je	83.35000000000004	0.3
fis,	83.70000000000005	0.3
le	84.05000000000004	0.3
serpent	84.40000000000003	0.3
se	84.75000000000004	0.3
laissa	85.10000000000004	0.3
doucement	85.45000000000003	0.3
couler	85.80000000000004	0.3
dans	86.15000000000003	0.3
le	86.50000000000004	0.3
sable,	86.85000000000004	0.3
comme	87.20000000000003	0.3
un	87.55000000000004	0.3
jet	87.90000000000003	0.3
d'eau	88.25000000000004	0.3
qui	88.60000000000004	0.3
meurt,	88.95000000000003	0.3
et,	89.30000000000004	0.3
sans	89.65000000000003	0.3
trop	90.00000000000004	0.3
se	90.35000000000004	0.3
presser,	90.70000000000003	0.3
se	91.05000000000004	0.3
faufila	91.40000000000003	0.3
entre	91.75000000000003	0.3
les	92.10000000000004	0.3
pierres	92.45000000000003	0.3
avec	92.80000000000004	0.3
un	93.15000000000003	0.3
léger	93.50000000000003	0.3
bruit	93.85000000000004	0.3
de	94.20000000000003	0.3
métal.	94.55000000000004	0.3
Je	95.10000000000004	0.3
parvins	95.45000000000003	0.3
au	95.80000000000004	0.3
mur	96.15000000000003	0.3
juste	96.50000000000004	0.3
à	96.85000000000004	0.3
temps	97.20000000000003	0.3
pour	97.55000000000004	0.3
y	97.90000000000003	0.3
recevoir	98.25000000000004	0.3
dans	98.60000000000004	0.3
les	98.95000000000003	0.3
bras	99.30000000000004	0.3
mon	99.65000000000003	0.3
petit	100.00000000000003	0.3
bonhomme	100.35000000000004	0.3
de	100.70000000000003	0.3
prince,	101.05000000000004	0.3
pâle	101.40000000000003	0.3
comme	101.75000000000003	0.3
la	102.10000000000004	0.3
neige.	102.45000000000003	0.3
"""quelle"	103.00000000000004	0.3
est	103.35000000000004	0.3
cette	103.70000000000003	0.3
histoire-là!	104.05000000000004	0.3
Tu	104.60000000000004	0.3
parles	104.95000000000005	0.3
maintenant	105.30000000000004	0.3
avec	105.65000000000003	0.3
les	106.00000000000004	0.3
"serpents!"""	106.35000000000004	0.3
J'avais	106.90000000000003	0.3
défait	107.25000000000004	0.3
son	107.60000000000004	0.3
éternel	107.95000000000005	0.3
cache-nez	108.30000000000004	0.3
d'or.	108.65000000000003	0.3
Je	109.20000000000005	0.3
lui	109.55000000000004	0.3
avais	109.90000000000005	0.3
mouillé	110.25000000000004	0.3
les	110.60000000000004	0.3
tempes	110.95000000000005	0.3
et	111.30000000000004	0.3
l'avais	111.65000000000005	0.3
fait	112.00000000000004	0.3
boire.	112.35000000000004	0.3
Et	112.90000000000005	0.3
maintenant	113.25000000000004	0.3
je	113.60000000000005	0.3
n'osais	113.95000000000005	0.3
plus	114.30000000000004	0.3
rien	114.65000000000005	0.3
lui	115.00000000000004	0.3
demander.	115.35000000000004	0.3
Il	115.90000000000005	0.3
me	116.25000000000004	0.3
regarda	116.60000000000005	0.3
gravement	116.95000000000005	0.3
et	117.30000000000004	0.3
m'entoura	117.65000000000005	0.3
le	118.00000000000004	0.3
cou	118.35000000000005	0.3
de	118.70000000000005	0.3
ses	119.05000000000004	0.3
bras.	119.40000000000005	0.3
Je	119.95000000000005	0.3
sentais	120.30000000000005	0.3
battre	120.65000000000005	0.3
son	121.00000000000004	0.3
coeur	121.35000000000005	0.3
comme	121.70000000000005	0.3
celui	122.05000000000005	0.3
d'un	122.40000000000005	0.3
oiseau	122.75000000000004	0.3
qui	123.10000000000005	0.3
meurt,	123.45000000000005	0.3
quand	123.80000000000004	0.3
on	124.15000000000005	0.3
l'a	124.50000000000004	0.3
tiré	124.85000000000005	0.3
à	125.20000000000005	0.3
la	125.55000000000004	0.3
carabine.	125.90000000000005	0.3
Il	126.45000000000005	0.3
me	126.80000000000005	0.3
dit:	127.15000000000005	0.3
"""je"	127.50000000000004	0.3
suis	127.85000000000005	0.3
content	128.20000000000002	0.3
que	128.55	0.3
tu	128.89999999999998	0.3
aies	129.24999999999994	0.3
trouvé	129.59999999999994	0.3
ce	129.9499999999999	0.3
qui	130.2999999999999	0.3
manquait	130.64999999999986	0.3
à	130.99999999999983	0.3
ta	131.34999999999982	0.3
machine.	131.6999999999998	0.3
Tu	132.24999999999974	0.3
vas	132.59999999999974	0.3
pouvoir	132.9499999999997	0.3
rentrer	133.29999999999967	0.3
chez	133.64999999999964	0.3
toi...	133.99999999999963	0.3
-comment	134.54999999999959	0.3
"sais-tu!"""	134.89999999999955	0.3
Je	135.44999999999956	0.3
venais	135.79999999999953	0.3
justement	136.14999999999955	0.3
lui	136.49999999999955	0.3
annoncer	136.84999999999954	0.3
que,	137.19999999999953	0.3
contre	137.54999999999953	0.3
toute	137.89999999999955	0.3
espérance,	138.24999999999955	0.3
j'avais	138.59999999999954	0.3
réussi	138.94999999999953	0.3
mon	139.29999999999953	0.3
travail!	139.64999999999955	0.3
Il	140.19999999999953	0.3
ne	140.54999999999953	0.3
répondit	140.89999999999952	0.3
rien	141.24999999999952	0.3
à	141.59999999999954	0.3
ma	141.94999999999953	0.3
question,	142.29999999999953	0.3
mais	142.64999999999952	0.3
il	142.99999999999952	0.3
ajouta:	143.34999999999954	0.3
"""moi"	143.69999999999953	0.3
aussi,	144.04999999999953	0.3
aujourd'hui,	144.39999999999952	0.3
je	144.74999999999952	0.3
rentre	145.09999999999954	0.3
chez	145.44999999999953	0.3
"moi..."""	145.79999999999953	0.3
Puis,	146.3499999999995	0.3
mélancolique:	146.6999999999995	0.3
"""c'est"	147.04999999999953	0.3
bien	147.39999999999952	0.3
plus	147.74999999999952	0.3
loin...	148.0999999999995	0.3
C'est	148.6499999999995	0.3
bien	148.99999999999952	0.3
plus	149.3499999999995	0.3
"difficile..."""	149.6999999999995	0.3
Je	150.2499999999995	0.3
sentais	150.59999999999948	0.3
bien	150.94999999999948	0.3
qu'il	151.2999999999995	0.3
se	151.6499999999995	0.3
passait	151.9999999999995	0.3
quelque	152.34999999999948	0.3
chose	152.69999999999948	0.3
d'extraordinaire.	153.0499999999995	0.3
Je	153.59999999999948	0.3
le	153.94999999999948	0.3
serrais	154.29999999999947	0.3
dans	154.64999999999947	0.3
les	154.9999999999995	0.3
bras	155.34999999999948	0.3
comme	155.69999999999948	0.3
un	156.04999999999947	0.3
petit	156.39999999999947	0.3
enfant,	156.7499999999995	0.3
et	157.09999999999948	0.3
cependant	157.44999999999948	0.3
il	157.79999999999947	0.3
