word	onset	duration
Il	0.7	0.3
se	1.0499999999999998	0.3
trouvait	1.3999999999999997	0.3
dans	1.7499999999999996	0.3
la	2.0999999999999996	0.3
région	2.4499999999999993	0.3
des	2.799999999999999	0.3
astéroïdes	3.1499999999999995	0.3
325,	3.499999999999999	0.3
326,	3.8499999999999988	0.3
327,	4.199999999999998	0.3
328,	4.549999999999999	0.3
329	4.899999999999999	0.3
et	5.249999999999998	0.3
330.	5.599999999999999	0.3
Il	5.949999999999998	0.3
commença	6.299999999999998	0.3
donc	6.649999999999998	0.3
par	6.999999999999997	0.3
les	7.349999999999998	0.3
visiter	7.6999999999999975	0.3
pour	8.049999999999997	0.3
y	8.399999999999997	0.3
chercher	8.749999999999996	0.3
une	9.099999999999996	0.3
occupation	9.449999999999996	0.3
et	9.799999999999995	0.3
pour	10.149999999999995	0.3
s'instruire.	10.499999999999996	0.3
Le	10.849999999999996	0.3
premier	11.199999999999996	0.3
était	11.549999999999995	0.3
habité	11.899999999999995	0.3
par	12.249999999999995	0.3
un	12.599999999999994	0.3
roi.	12.949999999999994	0.3
Le	13.299999999999994	0.3
roi	13.649999999999995	0.3
siégeait,	13.999999999999995	0.3
habillé	14.349999999999994	0.3
de	14.699999999999994	0.3
pourpre	15.049999999999994	0.3
et	15.399999999999993	0.3
d'hermine,	15.749999999999993	0.3
sur	16.099999999999994	0.3
un	16.449999999999996	0.3
trône	16.799999999999994	0.3
très	17.14999999999999	0.3
simple	17.499999999999993	0.3
et	17.849999999999994	0.3
cependant	18.199999999999992	0.3
majestueux.	18.549999999999994	0.3
"""ah!"	18.89999999999999	0.3
Voilà	19.249999999999993	0.3
un	19.59999999999999	0.3
"sujet!"","	19.949999999999992	0.3
S'écria	20.299999999999994	0.3
le	20.64999999999999	0.3
roi	20.999999999999993	0.3
quand	21.34999999999999	0.3
il	21.699999999999992	0.3
aperçut	22.04999999999999	0.3
le	22.39999999999999	0.3
petit	22.74999999999999	0.3
prince.	23.09999999999999	0.3
Et	23.449999999999992	0.3
le	23.79999999999999	0.3
petit	24.14999999999999	0.3
prince	24.49999999999999	0.3
se	24.84999999999999	0.3
demanda:	25.19999999999999	0.3
"""comment"	25.54999999999999	0.3
peut-il	25.899999999999988	0.3
me	26.24999999999999	0.3
reconnaître	26.59999999999999	0.3
puisqu'il	26.94999999999999	0.3
ne	27.29999999999999	0.3
m'a	27.649999999999988	0.3
encore	27.99999999999999	0.3
jamais	28.349999999999987	0.3
"vu!"""	28.69999999999999	0.3
Il	29.04999999999999	0.3
ne	29.399999999999988	0.3
savait	29.74999999999999	0.3
pas	30.099999999999987	0.3
que,	30.44999999999999	0.3
pour	30.799999999999986	0.3
les	31.149999999999988	0.3
rois,	31.49999999999999	0.3
le	31.849999999999987	0.3
monde	32.19999999999999	0.3
est	32.54999999999999	0.3
très	32.89999999999999	0.3
simplifié.	33.24999999999999	0.3
Tous	33.59999999999999	0.3
les	33.94999999999999	0.3
hommes	34.29999999999999	0.3
sont	34.64999999999999	0.3
des	34.99999999999999	0.3
sujets.	35.34999999999999	0.3
"""approche-toi"	35.69999999999999	0.3
que	36.04999999999999	0.3
je	36.39999999999999	0.3
te	36.749999999999986	0.3
voie	37.09999999999999	0.3
"mieux"","	37.44999999999999	0.3
lui	37.79999999999999	0.3
dit	38.14999999999999	0.3
le	38.499999999999986	0.3
roi	38.84999999999999	0.3
qui	39.19999999999999	0.3
était	39.54999999999999	0.3
tout	39.89999999999999	0.3
fier	40.249999999999986	0.3
d'être	40.59999999999999	0.3
enfin	40.94999999999999	0.3
roi	41.29999999999999	0.3
pour	41.649999999999984	0.3
quelqu'un.	41.999999999999986	0.3
Le	42.34999999999999	0.3
petit	42.69999999999999	0.3
prince	43.04999999999999	0.3
chercha	43.399999999999984	0.3
des	43.749999999999986	0.3
yeux	44.09999999999999	0.3
où	44.44999999999999	0.3
s'asseoir,	44.79999999999998	0.3
mais	45.149999999999984	0.3
la	45.499999999999986	0.3
planète	45.84999999999999	0.3
était	46.19999999999999	0.3
tout	46.54999999999998	0.3
encombrée	46.899999999999984	0.3
par	47.249999999999986	0.3
le	47.59999999999999	0.3
magnifique	47.94999999999998	0.3
manteau	48.29999999999998	0.3
d'hermine.	48.649999999999984	0.3
Il	48.999999999999986	0.3
resta	49.34999999999999	0.3
donc	49.69999999999998	0.3
debout,	50.04999999999998	0.3
et,	50.399999999999984	0.3
comme	50.749999999999986	0.3
il	51.09999999999998	0.3
était	51.44999999999998	0.3
fatigué,	51.79999999999998	0.3
il	52.149999999999984	0.3
bâilla.	52.499999999999986	0.3
"""il"	52.84999999999998	0.3
est	53.19999999999998	0.3
contraire	53.54999999999998	0.3
à	53.899999999999984	0.3
l'étiquette	54.249999999999986	0.3
de	54.59999999999998	0.3
bâiller	54.94999999999998	0.3
en	55.29999999999998	0.3
présence	55.649999999999984	0.3
d'un	55.99999999999998	0.3
roi,	56.34999999999998	0.3
lui	56.69999999999998	0.3
dit	57.04999999999998	0.3
le	57.399999999999984	0.3
monarque.	57.74999999999998	0.3
Je	58.09999999999998	0.3
te	58.44999999999998	0.3
l'interdis.	58.79999999999998	0.3
-je	59.14999999999998	0.3
ne	59.49999999999998	0.3
peux	59.84999999999998	0.3
pas	60.19999999999998	0.3
m'en	60.54999999999998	0.3
empêcher,	60.89999999999998	0.3
répondit	61.24999999999998	0.3
le	61.59999999999998	0.3
petit	61.94999999999998	0.3
prince	62.29999999999998	0.3
tout	62.64999999999998	0.3
confus	62.99999999999998	0.3
j'ai	63.34999999999998	0.3
