word	onset	duration	trial_type
Pourtant	31.49999999999999	0.3	{'kind': 'word', 'word': 'Pourtant'}
le	31.849999999999987	0.3	{'kind': 'word', 'word': 'le'}
petit	32.19999999999999	0.3	{'kind': 'word', 'word': 'petit'}
prince	32.54999999999999	0.3	{'kind': 'word', 'word': 'prince'}
répliqua	32.89999999999999	0.3	{'kind': 'word', 'word': 'répliqua'}
de	33.24999999999999	0.3	{'kind': 'word', 'word': 'de'}
nouveau:	33.59999999999999	0.3	{'kind': 'word', 'word': 'nouveau'}
"""..."	33.94999999999999	0.3	{'kind': 'word', 'word': ''}
Bien	34.29999999999999	0.3	{'kind': 'word', 'word': 'Bien'}
sûr.	34.64999999999999	0.3	{'kind': 'word', 'word': 'sûr'}
Tu	34.99999999999999	0.3	{'kind': 'word', 'word': 'Tu'}
verras	35.34999999999999	0.3	{'kind': 'word', 'word': 'verras'}
où	35.69999999999999	0.3	{'kind': 'word', 'word': 'où'}
commence	36.04999999999999	0.3	{'kind': 'word', 'word': 'commence'}
ma	36.39999999999999	0.3	{'kind': 'word', 'word': 'ma'}
trace	36.74999999999999	0.3	{'kind': 'word', 'word': 'trace'}
dans	37.09999999999999	0.3	{'kind': 'word', 'word': 'dans'}
le	37.44999999999999	0.3	{'kind': 'word', 'word': 'le'}
sable.	37.79999999999999	0.3	{'kind': 'word', 'word': 'sable'}
Tu	38.14999999999999	0.3	{'kind': 'word', 'word': 'Tu'}
n'as	38.49999999999999	0.3	{'kind': 'word', 'word': 'nas'}
qu'à	38.84999999999999	0.3	{'kind': 'word', 'word': 'quà'}
m'y	39.19999999999999	0.3	{'kind': 'word', 'word': 'my'}
attendre.	39.54999999999999	0.3	{'kind': 'word', 'word': 'attendre'}
J'y	39.89999999999999	0.3	{'kind': 'word', 'word': 'Jy'}
serai	40.24999999999999	0.3	{'kind': 'word', 'word': 'serai'}
cette	40.59999999999999	0.3	{'kind': 'word', 'word': 'cette'}
"nuit."""	40.94999999999999	0.3	{'kind': 'word', 'word': 'nuit'}
J'étais	41.29999999999999	0.3	{'kind': 'word', 'word': 'Jétais'}
à	41.649999999999984	0.3	{'kind': 'word', 'word': 'à'}
vingt	41.99999999999999	0.3	{'kind': 'word', 'word': 'vingt'}
mètres	42.34999999999999	0.3	{'kind': 'word', 'word': 'mètres'}
du	42.69999999999999	0.3	{'kind': 'word', 'word': 'du'}
mur	43.04999999999999	0.3	{'kind': 'word', 'word': 'mur'}
et	43.399999999999984	0.3	{'kind': 'word', 'word': 'et'}
je	43.74999999999999	0.3	{'kind': 'word', 'word': 'je'}
ne	44.09999999999999	0.3	{'kind': 'word', 'word': 'ne'}
voyais	44.44999999999999	0.3	{'kind': 'word', 'word': 'voyais'}
toujours	44.79999999999998	0.3	{'kind': 'word', 'word': 'toujours'}
rien.	45.149999999999984	0.3	{'kind': 'word', 'word': 'rien'}
Le	45.49999999999999	0.3	{'kind': 'word', 'word': 'Le'}
petit	45.84999999999999	0.3	{'kind': 'word', 'word': 'petit'}
prince	46.19999999999999	0.3	{'kind': 'word', 'word': 'prince'}
dit	46.54999999999998	0.3	{'kind': 'word', 'word': 'dit'}
encore,	46.899999999999984	0.3	{'kind': 'word', 'word': 'encore'}
après	47.24999999999999	0.3	{'kind': 'word', 'word': 'après'}
un	47.59999999999999	0.3	{'kind': 'word', 'word': 'un'}
silence:	47.94999999999998	0.3	{'kind': 'word', 'word': 'silence'}
"""tu"	48.29999999999998	0.3	{'kind': 'word', 'word': 'tu'}
as	48.649999999999984	0.3	{'kind': 'word', 'word': 'as'}
du	48.99999999999999	0.3	{'kind': 'word', 'word': 'du'}
bon	49.34999999999999	0.3	{'kind': 'word', 'word': 'bon'}
venin?	49.69999999999998	0.3	{'kind': 'word', 'word': 'venin'}
Tu	50.04999999999998	0.3	{'kind': 'word', 'word': 'Tu'}
es	50.399999999999984	0.3	{'kind': 'word', 'word': 'es'}
sûr	50.74999999999999	0.3	{'kind': 'word', 'word': 'sûr'}
de	51.09999999999998	0.3	{'kind': 'word', 'word': 'de'}
ne	51.44999999999998	0.3	{'kind': 'word', 'word': 'ne'}
pas	51.79999999999998	0.3	{'kind': 'word', 'word': 'pas'}
me	52.149999999999984	0.3	{'kind': 'word', 'word': 'me'}
faire	52.49999999999999	0.3	{'kind': 'word', 'word': 'faire'}
souffrir	52.84999999999998	0.3	{'kind': 'word', 'word': 'souffrir'}
"longtemps?"""	53.19999999999998	0.3	{'kind': 'word', 'word': 'longtemps'}
Je	53.54999999999998	0.3	{'kind': 'word', 'word': 'Je'}
fis	53.899999999999984	0.3	{'kind': 'word', 'word': 'fis'}
halte,	54.24999999999999	0.3	{'kind': 'word', 'word': 'halte'}
le	54.59999999999998	0.3	{'kind': 'word', 'word': 'le'}
coeur	54.94999999999998	0.3	{'kind': 'word', 'word': 'coeur'}
serré,	55.29999999999998	0.3	{'kind': 'word', 'word': 'serré'}
mais	55.649999999999984	0.3	{'kind': 'word', 'word': 'mais'}
je	55.99999999999998	0.3	{'kind': 'word', 'word': 'je'}
ne	56.34999999999998	0.3	{'kind': 'word', 'word': 'ne'}
comprenais	56.69999999999998	0.3	{'kind': 'word', 'word': 'comprenais'}
toujours	57.04999999999998	0.3	{'kind': 'word', 'word': 'toujours'}
pas.	57.399999999999984	0.3	{'kind': 'word', 'word': 'pas'}
"""maintenant,"	57.74999999999998	0.3	{'kind': 'word', 'word': 'maintenant'}
va-t'en,	58.09999999999998	0.3	{'kind': 'word', 'word': 'vaten'}
dit-il...	58.44999999999998	0.3	{'kind': 'word', 'word': 'ditil'}
Je	58.79999999999998	0.3	{'kind': 'word', 'word': 'Je'}
veux	59.14999999999998	0.3	{'kind': 'word', 'word': 'veux'}
"redescendre!"""	59.49999999999998	0.3	{'kind': 'word', 'word': 'redescendre'}
Alors	59.84999999999998	0.3	{'kind': 'word', 'word': 'Alors'}
j'abaissai	60.19999999999998	0.3	{'kind': 'word', 'word': 'jabaissai'}
moi-même	60.54999999999998	0.3	{'kind': 'word', 'word': 'moimême'}
les	60.89999999999998	0.3	{'kind': 'word', 'word': 'les'}
yeux	61.24999999999998	0.3	{'kind': 'word', 'word': 'yeux'}
vers	61.59999999999998	0.3	{'kind': 'word', 'word': 'vers'}
le	61.94999999999998	0.3	{'kind': 'word', 'word': 'le'}
pied	62.29999999999998	0.3	{'kind': 'word', 'word': 'pied'}
du	62.64999999999998	0.3	{'kind': 'word', 'word': 'du'}
mur,	62.99999999999998	0.3	{'kind': 'word', 'word': 'mur'}
et	63.34999999999998	0.3	{'kind': 'word', 'word': 'et'}
je	63.69999999999998	0.3	{'kind': 'word', 'word': 'je'}
fis	64.04999999999997	0.3	{'kind': 'word', 'word': 'fis'}
un	64.39999999999998	0.3	{'kind': 'word', 'word': 'un'}
bond!	64.74999999999997	0.3	{'kind': 'word', 'word': 'bond'}
Il	65.09999999999998	0.3	{'kind': 'word', 'word': 'Il'}
était	65.44999999999997	0.3	{'kind': 'word', 'word': 'était'}
là,	65.79999999999998	0.3	{'kind': 'word', 'word': 'là'}
dressé	66.14999999999998	0.3	{'kind': 'word', 'word': 'dressé'}
vers	66.49999999999997	0.3	{'kind': 'word', 'word': 'vers'}
le	66.84999999999998	0.3	{'kind': 'word', 'word': 'le'}
petit	67.19999999999997	0.3	{'kind': 'word', 'word': 'petit'}
prince,	67.54999999999998	0.3	{'kind': 'word', 'word': 'prince'}
un	67.89999999999998	0.3	{'kind': 'word', 'word': 'un'}
de	68.24999999999997	0.3	{'kind': 'word', 'word': 'de'}
ces	68.59999999999998	0.3	{'kind': 'word', 'word': 'ces'}
serpents	68.94999999999997	0.3	{'kind': 'word', 'word': 'serpents'}
jaunes	69.29999999999998	0.3	{'kind': 'word', 'word': 'jaunes'}
qui	69.64999999999998	0.3	{'kind': 'word', 'word': 'qui'}
vous	69.99999999999997	0.3	{'kind': 'word', 'word': 'vous'}
exécutent	70.34999999999998	0.3	{'kind': 'word', 'word': 'exécutent'}
en	70.69999999999997	0.3	{'kind': 'word', 'word': 'en'}
trente	71.04999999999998	0.3	{'kind': 'word', 'word': 'trente'}
secondes.	71.39999999999998	0.3	{'kind': 'word', 'word': 'secondes'}
Tout	71.74999999999997	0.3	{'kind': 'word', 'word': 'Tout'}
en	72.09999999999998	0.3	{'kind': 'word', 'word': 'en'}
fouillant	72.44999999999997	0.3	{'kind': 'word', 'word': 'fouillant'}
ma	72.79999999999997	0.3	{'kind': 'word', 'word': 'ma'}
poche	73.14999999999998	0.3	{'kind': 'word', 'word': 'poche'}
pour	73.49999999999997	0.3	{'kind': 'word', 'word': 'pour'}
en	73.84999999999998	0.3	{'kind': 'word', 'word': 'en'}
tirer	74.19999999999997	0.3	{'kind': 'word', 'word': 'tirer'}
mon	74.54999999999997	0.3	{'kind': 'word', 'word': 'mon'}
revolver,	74.89999999999998	0.3	{'kind': 'word', 'word': 'revolver'}
je	75.24999999999997	0.3	{'kind': 'word', 'word': 'je'}
pris	75.59999999999998	0.3	{'kind': 'word', 'word': 'pris'}
le	75.94999999999997	0.3	{'kind': 'word', 'word': 'le'}
pas	76.29999999999997	0.3	{'kind': 'word', 'word': 'pas'}
de	76.64999999999998	0.3	{'kind': 'word', 'word': 'de'}
course,	76.99999999999997	0.3	{'kind': 'word', 'word': 'course'}
mais,	77.34999999999998	0.3	{'kind': 'word', 'word': 'mais'}
