subject,run,offset,stretch
1,1,2.107,0.9999934118422136
1,2,1.5230000000000001,0.9999812687312688
1,3,2.0669999999999997,0.9999813046479521
1,4,1.6060000000000003,0.999980570891958
1,5,2.407,0.9999930374238468
1,6,2.474,0.9999811709009724
1,7,1.4399999999999995,0.9999923226925853
1,8,1.5239999999999996,0.9999809021146568
1,9,1.4979999999999998,0.9999817911444266
2,1,17.268,1.0016882154327595
2,2,5.594000000000001,1.0015968406593407
2,3,4.564,1.0019169926369074
2,4,3.0130000000000003,1.0015122322426047
2,5,3.521,1.0012288946910357
2,6,4.554,1.0010100466692669
2,7,3.1579999999999995,1.001229904647842
2,8,3.1249999999999996,1.0001041702836904
2,9,2.685,1.000511365360687
3,1,14.773,1.0017244503005847
3,2,3.9579999999999997,1.0009521728271729
3,3,12.356,1.0014567993557295
3,4,6.07,1.0005942068876188
3,5,13.883000000000001,1.0018711923411663
3,6,9.068000000000001,1.0017739701155302
3,7,10.235,1.0016936140156925
3,8,13.711,1.0012778221466023
3,9,7.760999999999999,1.0000880094686049
4,1,2.213,1.000858107551676
4,2,2.326,1.0011925574425575
4,3,4.154999999999999,1.001006672802577
4,4,5.804,1.0008046888914075
4,5,3.527,1.0006823324630114
4,6,6.255999999999999,1.0000685917178864
4,7,3.795,1.0007830853563038
4,8,3.395,1.0004618215910275
4,9,4.9719999999999995,1.0010470091954722
5,1,2.2039999999999997,1.0015597463559252
5,2,1.584,1.0021587787212787
5,3,1.9999999999999996,1.0015704095720201
5,4,2.1700000000000004,1.0017194760617198
5,5,1.8250000000000002,1.0015909486510008
5,6,2.0949999999999998,1.0010786383871533
5,7,1.9669999999999996,1.001552351559261
5,8,2.389,1.0009410048960035
5,9,1.5020000000000002,1.0015553397468968
6,1,1.6950000000000003,1.0008976364983944
6,2,2.695,1.000053071928072
6,3,4.285,1.0010037965945697
6,4,5.372999999999999,1.000948788109386
6,5,3.016,1.0006997389033943
6,6,6.39,1.0008190658077012
6,7,5.060999999999999,1.0010041918098485
6,8,5.346,1.0014236605437687
6,9,4.564,1.0006949713210525
7,1,3.6370000000000005,1.0000032940788932
7,2,8.476,1.0003886738261738
7,3,5.161999999999999,1.0004256787850896
7,4,5.244,1.0014005148713632
7,5,5.068999999999999,1.0007624020887729
7,6,6.071000000000001,1.0000107594851586
7,7,7.090000000000001,1.0010272237320927
7,8,9.722,1.0015000520851418
7,9,6.357999999999999,1.0015204394403814
8,1,9.652999999999999,1.0008416371572098
8,2,8.597000000000001,1.0008101273726273
8,3,1.9250000000000003,1.000103543488265
8,4,7.843999999999999,1.0005407768405032
8,5,7.4559999999999995,1.0001462140992166
8,6,5.437,1.0000833860099794
8,7,6.899,1.000331659680317
8,8,5.761000000000001,1.000944477238793
