onset	duration	trial_type
39.06	0.1099999999999994	{'kind': 'word', 'word': 'de'}
39.17	0.1400000000000005	{'kind': 'word', 'word': 'mon'}
39.31	0.5799999999999983	{'kind': 'word', 'word': 'moteur'}
40.66	0.1100000000000065	{'kind': 'word', 'word': 'j'}
40.77	0.279999999999994	{'kind': 'word', 'word': 'étais'}
41.05	0.3200000000000003	{'kind': 'word', 'word': 'très'}
41.37	0.5500000000000043	{'kind': 'word', 'word': 'soucieux'}
42.27	0.1699999999999946	{'kind': 'word', 'word': 'car'}
42.44	0.2000000000000028	{'kind': 'word', 'word': 'ma'}
42.64	0.3399999999999963	{'kind': 'word', 'word': 'panne'}
42.98	0.480000000000004	{'kind': 'word', 'word': 'commençait'}
43.46	0.1199999999999974	{'kind': 'word', 'word': 'de'}
43.58	0.0700000000000002	{'kind': 'word', 'word': 'm'}
43.65	0.5600000000000023	{'kind': 'word', 'word': 'apparaître'}
44.21	0.259999999999998	{'kind': 'word', 'word': 'comme'}
44.47	0.2899999999999991	{'kind': 'word', 'word': 'très'}
44.76	0.5600000000000023	{'kind': 'word', 'word': 'grave'}
45.63	0.0899999999999963	{'kind': 'word', 'word': 'et'}
45.72	0.0500000000000042	{'kind': 'word', 'word': 'l'}
45.77	0.1499999999999985	{'kind': 'word', 'word': 'eau'}
45.92	0.1000000000000014	{'kind': 'word', 'word': 'à'}
46.02	0.3799999999999954	{'kind': 'word', 'word': 'boire'}
46.4	0.1799999999999997	{'kind': 'word', 'word': 'qui'}
46.58	0.1499999999999985	{'kind': 'word', 'word': 's'}
46.73	0.5700000000000003	{'kind': 'word', 'word': 'épuisait'}
47.5	0.1899999999999977	{'kind': 'word', 'word': 'me'}
47.69	0.3000000000000042	{'kind': 'word', 'word': 'faisait'}
47.99	0.4600000000000008	{'kind': 'word', 'word': 'craindre'}
48.45	0.0899999999999963	{'kind': 'word', 'word': 'le'}
48.54	0.5600000000000023	{'kind': 'word', 'word': 'pire'}
49.88	0.4399999999999977	{'kind': 'word', 'word': 'les'}
50.32	0.4500000000000028	{'kind': 'word', 'word': 'épines'}
50.84	0.1299999999999954	{'kind': 'word', 'word': 'à'}
50.97	0.1499999999999985	{'kind': 'word', 'word': 'quoi'}
51.12	0.490000000000002	{'kind': 'word', 'word': 'servent'}
51.61	0.3299999999999983	{'kind': 'word', 'word': '-elles'}
52.75	0.1400000000000005	{'kind': 'word', 'word': 'le'}
52.89	0.2899999999999991	{'kind': 'word', 'word': 'petit'}
53.18	0.3999999999999986	{'kind': 'word', 'word': 'prince'}
53.58	0.1400000000000005	{'kind': 'word', 'word': 'ne'}
53.72	0.5300000000000011	{'kind': 'word', 'word': 'renonçait'}
54.25	0.6499999999999986	{'kind': 'word', 'word': 'jamais'}
54.9	0.0700000000000002	{'kind': 'word', 'word': 'à'}
54.97	0.1600000000000037	{'kind': 'word', 'word': 'une'}
55.13	0.4699999999999988	{'kind': 'word', 'word': 'question'}
55.78	0.1599999999999966	{'kind': 'word', 'word': 'une'}
55.94	0.2000000000000028	{'kind': 'word', 'word': 'fois'}
56.14	0.1199999999999974	{'kind': 'word', 'word': 'qu'}
56.26	0.1900000000000048	{'kind': 'word', 'word': 'il'}
56.45	0.019999999999996	{'kind': 'word', 'word': 'l'}
56.47	0.2199999999999988	{'kind': 'word', 'word': 'avait'}
56.69	0.4500000000000028	{'kind': 'word', 'word': 'posée'}
57.88	0.0899999999999963	{'kind': 'word', 'word': 'j'}
57.97	0.2100000000000008	{'kind': 'word', 'word': 'étais'}
58.18	0.5200000000000031	{'kind': 'word', 'word': 'irrité'}
58.7	0.1499999999999985	{'kind': 'word', 'word': 'par'}
58.85	0.1199999999999974	{'kind': 'word', 'word': 'mon'}
58.97	0.3500000000000014	{'kind': 'word', 'word': 'boulon'}
59.59	0.0399999999999991	{'kind': 'word', 'word': 'et'}
59.63	0.0899999999999963	{'kind': 'word', 'word': 'je'}
59.72	0.5200000000000031	{'kind': 'word', 'word': 'répondis'}
60.24	0.0899999999999963	{'kind': 'word', 'word': 'n'}
60.33	0.3999999999999986	{'kind': 'word', 'word': 'importe'}
60.73	0.2200000000000059	{'kind': 'word', 'word': 'quoi'}
61.46	0.3500000000000014	{'kind': 'word', 'word': 'les'}
61.81	0.2999999999999971	{'kind': 'word', 'word': 'épines'}
62.11	0.1700000000000017	{'kind': 'word', 'word': 'ça'}
62.28	0.0700000000000002	{'kind': 'word', 'word': 'ne'}
