subject,score,t
29,0.005647860215499818,-1.0
29,-0.014422991540789595,-0.9
29,0.007049476879153375,-0.8
29,-0.0053989069874628625,-0.7
29,-0.0037488678415193897,-0.6
29,-0.0052149059398648315,-0.5
29,0.013223341848044688,-0.4
29,0.026138824098355662,-0.3
29,0.011568953503964198,-0.2
29,0.010207152799831438,-0.1
29,-0.015237735242254016,0.0
29,0.006235568116714814,0.1
29,0.007322858628285981,0.2
29,0.012577052362691557,0.3
29,0.005493870733744583,0.4
29,0.004183744435305657,0.5
29,-0.00909532547048381,0.6
29,-0.009654119410112334,0.7
29,-0.001403401803296301,0.8
29,0.00086490401834775,0.9
29,0.0102318004575552,1.0
29,0.011460723982673183,1.1
29,-0.001164498971111831,1.2
29,-0.0061342022297712915,1.3
29,0.001498171045904386,1.4
29,0.003986491430199004,1.5
29,-0.013733660479108336,1.6
29,-0.024991457962035567,1.7
29,-0.004105970439767409,1.8
29,0.007207641516680856,1.9
29,-0.0019644222320180107,2.0
29,0.0027561629773445663,2.1
29,-0.002388764259753273,2.2
29,-0.010498113677075706,2.3
29,0.007209262679007428,2.4
29,-0.015204993541073271,2.5
29,-0.019019401570377677,2.6
29,-0.010338592710588403,2.7
29,-0.005808636338679017,2.8
29,-0.0048735752951582145,2.9
29,-0.0038533871182485336,3.0
29,-0.008765176489083289,3.1
29,0.002424444568861059,3.2
29,0.015882813823550956,3.3
29,-0.0011317766792637227,3.4
29,-0.00562337583903049,3.5
29,-0.01016718705383513,3.6
29,0.0007081423011843158,3.7
29,-0.011138310593123908,3.8
29,-0.003931539314087539,3.9
29,-0.0016503859765353106,4.0
