subject,score,t
10,0.0019503988106044795,-1.0
10,-0.0014391665012854183,-0.9
10,-0.004465425916919631,-0.8
10,0.0009372977737653371,-0.7
10,-0.0012018270476170235,-0.6
10,-2.996638853232057e-05,-0.5
10,0.005352409546545253,-0.4
10,0.00653769724564536,-0.3
10,0.0005104016086006766,-0.2
10,-0.0026061181363626067,-0.1
10,-0.002530350753397638,0.0
10,0.006621636009070527,0.1
10,0.0020962641041969254,0.2
10,0.0005208490074444163,0.3
10,0.00340702623416114,0.4
10,0.0017021794433378912,0.5
10,0.003933396995504838,0.6
10,0.003916375315304233,0.7
10,0.0062874260204788665,0.8
10,-0.0008171936302889109,0.9
10,0.006396127950957097,1.0
10,0.0011832289087454011,1.1
10,0.00271777113009387,1.2
10,0.01220861466391176,1.3
10,0.009315702749091024,1.4
10,0.007003848565945714,1.5
10,0.002302570987673376,1.6
10,0.0034337270268429304,1.7
10,0.0010974910936675049,1.8
10,0.004504108356156825,1.9
10,0.006026726936768746,2.0
10,0.009158289818391285,2.1
10,0.004593175352421783,2.2
10,0.0002363003769428346,2.3
10,0.008218245096529008,2.4
10,0.003129816768790141,2.5
10,0.00591127215978966,2.6
10,0.001210123935641651,2.7
10,0.0009348706316967096,2.8
10,-0.003926170534128112,2.9
10,1.4109446511398922e-05,3.0
10,0.00022130348302973077,3.1
10,0.0007729499190462316,3.2
10,0.0007327063880725165,3.3
10,0.0013762637688906206,3.4
10,0.0012832961086407632,3.5
10,-0.000761341497603822,3.6
10,0.0010213754932399711,3.7
10,0.002565861180697324,3.8
10,-0.0035471310780972464,3.9
10,-0.0019440934925346954,4.0
