subject,score,t
30,-0.005184298802899328,-0.5
30,0.0040449278624367984,-0.4
30,0.0025480751838007497,-0.3
30,0.004651631330926884,-0.2
30,-0.003831774030359982,-0.1
30,0.0038478836506251144,0.0
30,0.00477947394145988,0.1
30,-0.0009678233133658537,0.2
30,-0.0018321790232705476,0.3
30,-0.004355320185974665,0.4
30,-0.010798386256348132,0.5
30,-0.006618488932833678,0.6
30,0.0029007744823616355,0.7
30,-0.0025575008162751754,0.8
30,0.0017937378049936862,0.9
30,0.0041628995857818036,1.0
30,0.0004253285894934488,1.1
30,-0.0005930205958920991,1.2
30,0.0012767943633584524,1.3
30,-0.0008671870661620494,1.4
30,-0.0007174720322185864,1.5
30,0.003010800815597354,1.6
30,-0.006235975175298578,1.7
30,-0.00845935158230773,1.8
30,-0.0066325173403195955,1.9
30,-0.007732520414898071,2.0
