subject,score,t
9,-0.007460755428388573,-4.0
9,-0.01547396249354274,-3.9
9,-0.007607510936936832,-3.8
9,0.005213373537846919,-3.7
9,-0.0029430853015913155,-3.6
9,-0.019418222362155266,-3.5
9,-0.005992495297937938,-3.4
9,-0.002882933448453431,-3.3
9,-0.005270930412462704,-3.2
9,0.001451858585392806,-3.1
9,-0.008755880274325249,-3.0
9,-0.005930032469953759,-2.9
9,-0.007014413955645713,-2.8
9,-0.013394664747425402,-2.7
9,-0.011617406183440754,-2.6
9,-0.004460154216634807,-2.5
9,0.012285975336250062,-2.4
9,-0.00605070869487385,-2.3
9,-0.004242582206518184,-2.2
9,0.009049782538127372,-2.1
9,0.002858706283921907,-2.0
9,-0.0013818911015484288,-1.9
9,0.002516636584742626,-1.8
9,-0.018456038718851795,-1.7
9,-0.005534422138552478,-1.6
9,-0.008591359387184447,-1.5
9,-0.010600271790330058,-1.4
9,0.005008376239181861,-1.3
9,-0.00962816079281689,-1.2
9,-0.00856681431332479,-1.1
9,-0.004387831166314136,-1.0
9,-0.009244575167941029,-0.9
9,0.0026522010682266685,-0.8
9,0.0017760093243339126,-0.7
9,0.01296063113924739,-0.6
9,-0.0006842975304843496,-0.5
9,0.006165089894530571,-0.4
9,0.0024977536320628753,-0.3
9,0.010818047101953972,-0.2
9,-0.008471725945313384,-0.1
9,0.01180496869823757,0.0
9,0.0011090413859045545,0.1
9,0.0026300723255811152,0.2
9,0.004666273758396575,0.3
9,0.006503132841959497,0.4
9,0.0002974001279167352,0.5
9,0.002661357276602895,0.6
9,0.004904299773560688,0.7
9,-0.006301843031349429,0.8
9,0.005861608598117687,0.9
9,0.0061685282499825194,1.0
