subject,score,t
11,0.004641570671367694,-1.0
11,-0.002443590347025119,-0.9
11,-0.002680364881948997,-0.8
11,0.0011038922187537443,-0.7
11,-0.0012462128074364677,-0.6
11,0.0008164886880571114,-0.5
11,-0.0017684568101745842,-0.4
11,-0.000829534393128507,-0.3
11,-0.008330024891465658,-0.2
11,-0.0023637068643195397,-0.1
11,0.003755822255943624,0.0
11,-0.0005395053714231942,0.1
11,0.004146067412725144,0.2
11,0.005449917007786838,0.3
11,-0.0011279930174946649,0.4
11,-0.006255675474945362,0.5
11,0.0014805325287477998,0.6
11,-0.0018771674799057418,0.7
11,0.008720947650043847,0.8
11,0.001126576899277105,0.9
11,-0.003029693857847088,1.0
11,-0.0022172244798259063,1.1
11,-0.0020146718434308863,1.2
11,-0.0026482968485480873,1.3
11,0.0033807317429149493,1.4
11,-0.0026836791821693473,1.5
11,0.007657579574194619,1.6
11,0.007023093219763771,1.7
11,-0.0011969143452304628,1.8
11,0.001677057284637729,1.9
11,-0.001134098078332346,2.0
11,0.004081245179126731,2.1
11,0.007678922093163838,2.2
11,-0.002075491153546005,2.3
11,0.0014686589305212049,2.4
11,0.003641967575099998,2.5
11,-0.0011414658588325935,2.6
11,-0.006324322615502988,2.7
11,-0.001534104155249122,2.8
11,0.0003327962033368678,2.9
11,0.0021937032806879364,3.0
11,-0.0012046030601670968,3.1
11,0.0016908298415170425,3.2
11,-0.0008684311814558412,3.3
11,-0.0025542076307804727,3.4
11,-0.0010038153740528195,3.5
11,0.003283589182892302,3.6
11,0.006334080699496591,3.7
11,0.0018306460660613801,3.8
11,0.00805427234175773,3.9
11,0.0032652107492965065,4.0
