subject,score,t
52,-0.009661160986160574,-4.0
52,-0.004638326289732148,-3.9
52,0.0006210643850607853,-3.8
52,-0.013358805284977933,-3.7
52,-0.015946798734265917,-3.6
52,0.0009092996805253969,-3.5
52,-0.015696708138602525,-3.4
52,-0.012853775998731368,-3.3
52,-0.01462870885807291,-3.2
52,-0.0038541292155924237,-3.1
52,0.0017536752106135046,-3.0
52,-0.0021167474835757922,-2.9
52,-0.005819519969305934,-2.8
52,-0.016708949432148058,-2.7
52,-0.0029074994078124206,-2.6
52,-0.01414005231517774,-2.5
52,-0.010575034799949439,-2.4
52,-0.009976748805208683,-2.3
52,-0.018028369622097484,-2.2
52,-0.0040591761478933185,-2.1
52,-0.011448066663465652,-2.0
52,0.0015912613991308844,-1.9
52,0.00121227300960975,-1.8
52,0.0007846635358749484,-1.7
52,0.008835195519466573,-1.6
52,-0.009903679157995783,-1.5
52,-0.009312583169451247,-1.4
52,0.009777072312432187,-1.3
52,-0.0034617316987674146,-1.2
52,0.01655997359426228,-1.1
52,0.008844642649308758,-1.0
52,0.010020889353770311,-0.9
52,-0.009655039699120934,-0.8
52,-0.00808628273247972,-0.7
52,0.004701776846382908,-0.6
52,-0.0015996479475762781,-0.5
52,-0.007841013458093392,-0.4
52,-0.005610249803539046,-0.3
52,-0.009968372469522596,-0.2
52,-0.002648825151167393,-0.1
52,0.010481511804438697,0.0
52,0.0069924014030943215,0.1
52,0.007024993543754784,0.2
52,0.014918510377749513,0.3
52,0.005890491449519299,0.4
52,0.012573448291948649,0.5
52,0.004493199276592411,0.6
52,0.0023080002589930845,0.7
52,-0.009365444517303045,0.8
52,0.010189198456000288,0.9
52,0.0011121939601166852,1.0
