subject,score,t
53,-0.04180614323068064,-1.0
53,-0.006741506392457135,-0.9
53,0.004216817333964818,-0.8
53,0.017502950523808868,-0.7
53,0.0059211148159153985,-0.6
53,0.012826766769695519,-0.5
53,-0.01796728916400936,-0.4
53,-0.009964764928311224,-0.3
53,-0.01104236920018503,-0.2
53,-0.0189332529324398,-0.1
53,-0.008252370056947,0.0
53,-0.003022362350135244,0.1
53,-0.008330426216394125,0.2
53,0.0019152546355510754,0.3
53,-0.012692108901558502,0.4
53,-0.009669897641000359,0.5
53,-0.02107779943316596,0.6
53,-0.010814344413053052,0.7
53,-0.002675738538298986,0.8
53,0.0011201168517632524,0.9
53,-0.009888401963357215,1.0
53,0.0019831611152425223,1.1
53,0.014675909229541899,1.2
53,0.016718677747978354,1.3
53,0.007827810433828018,1.4
53,0.004167589368627017,1.5
53,0.0010872703579574102,1.6
53,0.018071883161730026,1.7
53,0.004227407863494029,1.8
53,0.007545662368804977,1.9
53,0.009268635928621665,2.0
53,0.01819421178410515,2.1
53,0.021741759366047494,2.2
53,0.022638882805515678,2.3
53,0.024994818351134544,2.4
53,-0.002735762563343108,2.5
53,0.0032605614000931226,2.6
53,0.003953030688225181,2.7
53,-0.0076164576205707815,2.8
53,-0.005153119184766707,2.9
53,-0.006022969946961341,3.0
53,-0.019137618490601215,3.1
53,-0.011524283741652408,3.2
53,-0.008266697965883628,3.3
53,-0.0022171828731994874,3.4
53,-0.01128566785663983,3.5
53,-0.0063114701048817045,3.6
53,0.011967787365421036,3.7
53,0.013285253633808216,3.8
53,0.0012960952067148613,3.9
53,0.0014918408344624433,4.0
